code_bassin_emploi,rome,rome_connexe,score
101,G1602,D1102,.40453324
101,G1603,D1104,.11603712
101,G1603,D1106,.11198685
101,G1603,H3302,.61404163
101,G1604,D1104,.41643316
101,G1604,D1101,.61104429
101,G1604,D1102,.087244779
101,G1605,D1104,.87008542
101,G1605,D1106,.67365426
101,G1605,D1101,.35382155
101,G1801,D1101,.39833164
101,G1801,D1106,.72100925
101,G1801,D1102,.19654833
101,G1802,D1104,.77967101
101,G1802,D1102,.71424299
101,G1802,D1101,.30176151
101,G1803,D1101,.94011211
101,G1803,D1106,.38017195
101,G1803,D1102,.63784796
101,G1804,D1106,.0060124728
101,G1804,K2111,.51605481
101,G1804,G1303,.87880802
101,H2301,H2102,.59292769
101,H2301,H3302,.33706358
101,H2701,N4105,.645037
101,H2701,H3301,.27538386
101,H2701,H3302,.12863943
101,H3201,H2102,.93782192
101,H3201,H3302,.6233204
101,H3201,H2101,.040547173
101,H3202,H3302,.66141224
101,H3203,I1604,.41348726
101,H3203,H3302,.095903404
101,H3203,I1606,.50602633
101,I1501,F1703,.86786783
101,I1501,F1611,.48867682
101,I1501,F1604,.51568419
101,I1502,I1604,.5261032
101,I1502,F1604,.31458348
101,I1502,F1301,.36502773
101,I1503,F1602,.84097379
101,I1503,F1604,.57147074
101,I1503,H3302,.54309458
101,J1101,K1302,.55732155
101,J1102,K1302,.11897121
101,J1102,D1101,.59366566
101,J1102,K2111,.29099336
101,J1103,H3302,.39385882
101,J1103,K1302,.3569026
101,J1103,K1304,.95229012
101,J1104,K1302,.33334908
101,J1104,K1304,.51962799
101,J1104,H3302,.42775434
101,J1501,K1303,.12644169
101,J1501,J1402,.83962601
101,J1501,J1405,.51657462
101,J1502,J1402,.95372295
101,J1502,K2111,.14991102
101,J1502,K1303,.80203646
101,J1503,K1302,.3459006
101,J1504,K1304,.54584056
101,J1505,F1701,.48240751
101,J1505,K1303,.51972443
101,J1506,J1402,.54438812
101,J1506,K2111,.98034763
101,J1507,J1402,.23483676
101,J1507,K2111,.24333581
101,J1507,K1303,.37341926
101,K1101,K1303,.13162762
101,K1101,K2111,.37938911
101,K1102,K2111,.79908133
101,K1102,K1302,.59693003
101,K1102,M1805,.68750346
101,K1103,J1402,.62649637
101,K1103,K1303,.7281971
101,K1103,K2111,.6117025
101,K1104,J1405,.46070185
101,K1104,J1402,.46511418
101,K1104,K2111,.48407358
101,K2201,H2101,.30877972
101,K2201,H3302,.50127125
101,K2202,F1701,.30324486
101,K2202,I1606,.019310068
101,K2202,F1608,.34028587
101,K2203,K2111,.39026612
101,K2204,K1304,.30364096
101,K2204,A1101,.12402586
101,K2204,K2111,.42389601
101,K2301,F1704,.37504682
101,K2301,F1602,.61185265
101,K2301,F1603,.28971201
101,K2302,M1805,.75152338
101,K2302,K2111,.57712841
101,K2303,F1604,.61347014
101,K2303,F1703,.48174629
101,K2303,N4101,.61519408
101,K2304,I1604,.65243274
101,K2304,H3302,.95467216
101,K2305,F1604,.79682487
101,K2305,F1602,.35142037
101,K2305,F1703,.27404463
101,K2306,K2111,.45607939
101,K2601,F1611,.077301845
101,K2601,F1701,.83148789
101,K2601,N4102,.64495152
101,K2602,K1303,.11612563
101,K2602,G1303,.98731565
101,K2602,K2111,.48650756
101,K2603,K1302,.31540832
101,K2603,F1202,.71589667
101,K2603,N4102,.4705641
101,L1101,K2111,.63373709
101,L1102,F1701,.19218615
101,L1102,K2111,.21930282
101,L1103,K2111,.29854095
101,L1103,K1304,.86757463
101,L1301,K2111,.55684561
101,L1301,F1602,.3432889
101,L1302,M1805,.88401675
101,L1303,M1805,.39285702
101,L1304,K2111,.80063879
101,L1304,N4105,.87154973
101,L1304,D1106,.63473886
101,L1401,J1405,.14878874
101,L1401,M1805,.99337381
101,L1401,G1303,.19334269
101,M1102,M1805,.81672019
101,M1501,K2111,.68189043
101,M1502,K2111,.77553445
101,M1502,M1805,.80209947
101,M1503,F1202,.71861154
101,M1503,M1805,.057035629
101,M1503,H2206,.0074504782
101,M1601,K1303,.81235725
101,M1601,G1303,.63654476
101,M1602,K1302,.93499845
101,M1602,G1303,.32007331
101,M1602,J1405,.16638879
101,M1603,H3302,.90108675
101,M1603,N4105,.57074183
101,M1603,G1303,.99867624
101,M1604,K1303,.98936921
101,M1604,K2111,.053842869
101,M1604,G1303,.85866719
101,M1605,K2111,.23301381
101,M1605,F1201,.096826233
101,M1606,K1303,.27812549
101,M1606,G1303,.82935786
101,M1607,D1102,.0060141697
101,M1607,G1303,.20953234
101,M1607,K2111,.15200853
101,M1608,D1102,.70683938
101,M1608,D1101,.94553721
101,M1608,G1303,.1683179
101,M1609,G1303,.34712639
101,M1609,J1405,.52367163
101,M1609,K2111,.0085523175
101,N1101,F1301,.92581367
101,N1101,F1302,.61102927
101,N1101,A1101,.46387029
101,N1102,N4102,.81435353
101,N1102,N4101,.93691301
101,N1102,N4105,.8467471
101,N1103,N4105,.25975776
101,N1103,H3302,.59095776
101,N1103,H2101,.21526888
101,N1104,I1604,.049120422
101,N1104,F1301,.8415221
101,N1104,F1302,.74350756
101,N1105,A1101,.56128144
101,N1105,H3302,.37518951
101,N1105,H2101,.29724744
102,A1201,D1208,.30562562
102,A1201,H2101,.91390473
102,A1201,A1402,.76801318
102,A1202,I1604,.79078078
102,A1202,F1302,.2273508
102,A1202,A1414,.35784468
102,A1203,A1414,.77146244
102,A1203,F1703,.18015307
102,A1203,I1604,.024430269
102,A1204,A1414,.45805269
102,A1204,K2503,.41208193
102,A1204,I1604,.27104434
102,A1205,A1414,.23573431
102,A1205,A1405,.67548013
102,A1205,A1416,.90752137
102,B1201,D1212,.1646733
102,B1201,A1414,.72904533
102,B1201,H3302,.16091146
102,B1301,D1202,.1966282
102,B1301,D1211,.24443564
102,B1301,D1212,.83107746
102,B1302,D1202,.11507464
102,B1302,D1208,.75455505
102,B1302,H2206,.30042276
102,B1303,D1202,.74895144
102,B1303,H2206,.19983505
102,B1303,A1416,.0035929722
102,B1601,H2206,.93643099
102,B1601,I1606,.78619593
102,B1601,H3302,.84314537
102,B1602,I1606,.84232217
102,B1602,F1302,.94100404
102,B1602,I1604,.051988907
102,B1603,D1208,.89861965
102,B1603,D1214,.44025046
102,B1603,K2503,.14105402
102,B1604,I1606,.65747058
102,B1604,D1208,.54418117
102,B1604,D1202,.65581369
102,C1201,D1214,.30537203
102,C1201,D1209,.032745104
102,C1201,D1211,.3175852
102,C1202,M1805,.47386542
102,C1202,D1214,.25033808
102,C1202,D1212,.11618778
102,C1203,D1208,.10336184
102,C1203,M1805,.17812669
102,C1203,D1202,.0080238525
102,C1204,D1209,.95147723
102,C1204,D1214,.8471989
102,C1204,D1211,.42216721
102,C1205,D1208,.4698002
102,C1205,D1202,.011154184
102,C1205,D1211,.55451864
102,C1206,M1805,.91064709
102,C1206,D1208,.26892048
102,C1206,D1204,.25943661
102,C1207,D1211,.61178058
102,C1207,D1209,.52330279
102,C1207,D1214,.63156152
102,C1401,D1208,.86479068
102,C1401,D1204,.48701078
102,C1401,D1202,.27756539
102,D1403,D1208,.8394956
102,D1403,D1214,.56830168
102,D1403,D1211,.20722291
102,D1404,I1606,.72536737
102,D1404,I1604,.21902226
102,D1404,D1204,.006068992
102,D1405,D1208,.93997198
102,D1408,D1208,.8567127
102,D1408,D1202,.20540555
102,D1408,D1214,.42583126
102,D1501,A1402,.31962371
102,D1501,D1202,.34190699
102,D1501,A1414,.49860635
102,D1502,A1402,.47217527
102,D1502,H2101,.79047024
102,D1502,D1202,.004563963
102,D1503,D1202,.28609225
102,D1503,D1208,.51811016
102,D1503,D1211,.84134614
102,D1504,D1214,.81318283
102,D1505,D1202,.22216679
102,D1505,D1214,.73702759
102,D1505,A1402,.99671179
102,D1506,D1202,.45096219
102,D1506,D1208,.55117631
102,D1507,H3302,.46700162
102,D1507,A1414,.86029178
102,D1507,H2101,.22994435
102,D1508,D1208,.58017933
102,D1508,D1214,.55499452
102,D1508,D1204,.52779913
102,D1509,D1214,.95008326
102,D1509,A1416,.15229857
102,E1201,D1208,.82295519
102,E1201,A1416,.10014446
102,E1201,A1414,.27832463
102,E1202,M1805,.21849677
102,E1202,H3302,.94086677
102,E1203,I1606,.51497161
102,E1203,A1416,.9285239
102,E1203,D1214,.13793726
102,E1204,K2503,.65475452
102,E1204,D1214,.22314164
102,E1204,D1204,.65910208
102,E1205,M1805,.90930945
102,E1205,K2503,.52661407
102,E1205,F1106,.7738592
102,F1501,I1604,.66362572
102,F1501,F1106,.24440068
102,F1501,F1302,.73317146
102,F1502,F1703,.7632392
102,F1502,F1701,.074598804
102,F1502,F1302,.22531998
102,F1503,F1704,.60873967
102,F1503,F1106,.93472195
102,F1503,I1604,.87267929
102,G1201,D1208,.9993121
102,G1201,I1604,.20098372
102,G1201,D1202,.10864469
102,G1202,M1805,.0010185494
102,G1202,D1208,.43588862
102,G1203,D1202,.6711365
102,G1203,D1208,.76582807
102,G1204,M1805,.045348868
102,G1204,I1604,.65893805
102,G1204,F1106,.85411507
102,G1205,F1701,.87949389
102,G1205,F1703,.93789142
102,G1205,A1414,.50107861
102,G1206,D1208,.44351941
102,G1206,A1414,.65118647
102,G1206,A1402,.66216791
102,G1401,D1211,.85389781
102,G1401,D1202,.67200243
102,G1401,M1805,.43394274
102,G1402,D1209,.61783475
102,G1402,A1416,.13929176
102,G1403,A1414,.74381733
102,G1403,D1208,.63010693
102,G1403,D1202,.96986568
102,G1404,D1211,.44251984
102,G1404,D1212,.89212859
102,G1404,D1209,.52220309
102,G1601,D1212,.80804724
102,G1601,D1208,.03210339
102,G1601,D1202,.495327
102,G1602,I1606,.31665355
102,G1602,D1209,.16502145
102,G1602,A1402,.22761339
102,G1603,D1202,.47745091
102,G1603,A1402,.125026
102,G1603,D1208,.572088
102,G1604,H3302,.25611219
102,G1604,A1414,.78690219
102,G1604,D1214,.99630404
102,G1605,H3302,.92056268
102,G1605,A1402,.072586052
102,G1605,D1202,.56649631
102,G1801,D1211,.87596643
102,G1801,D1202,.92271554
102,G1801,D1208,.83710986
102,G1802,D1214,.46545446
102,G1802,D1212,.71067268
102,G1802,D1209,.29661253
102,G1803,D1202,.25967556
102,G1803,D1214,.81972867
102,G1803,D1208,.34783393
102,G1804,A1405,.73614144
102,G1804,D1204,.26021078
102,G1804,D1214,.048100241
102,H2301,H2102,.46821123
102,H2301,H3302,.50684887
102,H2701,H3302,.20939185
102,H2801,H2102,.99774373
102,H2801,H2101,.9961772
102,H2801,H3302,.41747826
102,H2802,H3302,.62811404
102,H2802,F1701,.32931885
102,H2803,A1414,.38825861
102,H2803,H3302,.73828131
102,H2803,I1606,.75419897
102,H2804,H3302,.14468507
102,H2804,F1302,.49359718
102,H2804,A1414,.3409777
102,H2805,H3302,.44833028
102,H3101,H2102,.058088098
102,H3101,H3302,.7243343
102,H3102,H3302,.94584543
102,J1102,D1202,.14800958
102,J1102,D1208,.27721262
102,J1102,M1805,.63210249
102,J1103,D1212,.67877913
102,J1103,H3302,.84631538
102,J1104,H3302,.91548264
102,J1104,D1209,.0024124966
102,J1104,D1214,.91450512
102,J1301,D1208,.7669903
102,J1301,A1402,.37306744
102,J1301,H2101,.46194813
102,J1302,D1202,.97646683
102,J1302,D1208,.13823827
102,J1303,D1202,.6751985
102,J1303,D1208,.8112576
102,J1304,A1402,.67164689
102,J1304,D1202,.010304374
102,J1304,D1208,.94139707
102,J1305,I1606,.68095815
102,J1305,A1402,.052083068
102,J1305,D1202,.27408203
102,J1306,D1214,.94079995
102,J1306,A1402,.44524127
102,J1306,A1414,.71207654
102,J1307,D1214,.38318583
102,J1307,D1202,.13445728
102,J1307,D1208,.22887391
102,K1101,K2503,.73579317
102,K1102,M1805,.55711323
102,K1103,D1202,.7268889
102,K1103,A1414,.5381276
102,K1103,D1204,.4996542
102,K1104,D1202,.90259778
102,K1104,D1208,.11235029
102,K1801,D1202,.40111369
102,K1801,D1208,.93879271
102,K1801,M1805,.75827795
102,K1802,F1106,.41642645
102,K1802,M1805,.77918786
102,K2201,A1402,.12022279
102,K2201,H3302,.52919996
102,K2201,H2101,.12435728
102,K2202,I1606,.81326675
102,K2202,F1704,.076010063
102,K2202,F1701,.87318754
102,K2203,K2503,.35743779
102,K2203,D1208,.51386046
102,K2204,D1204,.37301674
102,K2204,D1208,.95192933
102,K2204,A1416,.14869913
102,K2301,F1701,.76150167
102,K2301,F1704,.35161054
102,K2301,F1703,.62556666
102,K2302,F1106,.16210306
102,K2302,M1805,.2169757
102,K2303,F1701,.73722142
102,K2303,I1604,.68838054
102,K2303,F1704,.27010098
102,K2304,I1604,.82069784
102,K2304,H3302,.66583377
102,K2305,F1703,.4982866
102,K2305,K2503,.41025326
102,K2305,F1701,.25289017
102,K2306,K2503,.12725423
102,L1301,D1211,.45051298
102,L1301,D1214,.75527459
102,L1301,D1202,.98750311
102,L1302,M1805,.64979154
102,L1302,D1211,.90880048
102,L1303,D1202,.16701066
102,L1303,M1805,.45855615
102,L1304,D1212,.95651984
102,L1304,D1209,.4769989
102,L1501,F1701,.092528544
102,L1501,D1208,.27144396
102,L1501,D1202,.82501376
102,L1502,F1701,.88936716
102,L1502,D1208,.20265223
102,L1502,D1214,.99557936
102,L1503,F1106,.48369488
102,L1503,K2503,.30397189
102,L1503,H2206,.21142167
102,L1504,F1703,.30242896
102,L1504,D1212,.89716154
102,L1504,H3302,.65025896
102,L1505,I1606,.13338296
102,L1506,D1212,.80490112
102,L1506,F1703,.12553792
102,L1506,H3302,.29942745
102,L1507,A1402,.68405682
102,L1508,K2503,.82466745
102,L1509,K2503,.68519032
102,L1509,H3302,.39219391
102,L1509,F1703,.76782227
102,M1101,D1212,.85453421
102,M1101,D1214,.67243451
102,M1102,M1805,.3705759
102,M1202,K2503,.47221053
102,M1202,D1208,.74574804
102,M1203,I1604,.29618573
102,M1203,H2101,.68431753
102,M1203,I1606,.36114374
102,M1204,D1208,.13861316
102,M1204,M1805,.40795922
102,M1206,D1211,.16507685
102,M1207,D1204,.57379973
102,M1601,D1202,.59544307
102,M1601,D1208,.52563816
102,M1601,D1204,.2422798
102,M1602,D1202,.17355432
102,M1602,D1208,.83569002
102,M1602,D1204,.80989981
102,M1603,H3302,.68047351
102,M1603,D1202,.54245228
102,M1603,A1402,.75182021
102,M1604,D1202,.84384084
102,M1606,D1202,.85312533
102,M1606,D1208,.70850569
102,M1606,D1204,.0013697378
102,M1607,A1414,.98198432
102,M1607,D1208,.45619151
102,M1607,D1204,.44399148
102,M1608,D1211,.22642446
102,M1608,D1202,.077600338
102,M1608,D1204,.28221664
102,M1609,D1202,.16175424
102,M1609,D1208,.29635832
102,M1701,M1805,.83945191
102,M1704,M1805,.95060575
102,M1705,D1214,.91876853
102,M1706,D1209,.33878362
102,M1706,M1805,.63712049
102,M1706,D1212,.37787423
102,N3101,K2503,.20570426
102,N3102,D1204,.38001397
102,N3102,I1606,.30914614
102,N3103,D1204,.93145961
104,A1501,K1303,.54837573
104,A1501,D1208,.65449464
104,A1501,G1101,.45021167
104,A1502,K2111,.66568613
104,A1502,H2206,.80025375
104,A1503,D1102,.89439738
104,A1503,D1104,.045821179
104,A1503,D1101,.023646381
104,A1504,D1209,.52532011
104,A1504,K2111,.22462557
104,A1504,D1211,.10343463
104,B1101,H2206,.53638631
104,B1101,D1104,.90454513
104,B1101,K2111,.34171057
104,B1301,D1104,.38905936
104,B1301,D1101,.12750144
104,B1301,D1212,.38326505
104,B1302,D1208,.73627263
104,B1302,H2206,.72421056
104,B1302,H3302,.61878377
104,B1303,D1208,.49570897
104,B1303,H2206,.90566176
104,B1303,H3302,.85903311
104,B1601,H2206,.80292016
104,B1601,I1307,.72976613
104,B1601,D1104,.97495008
104,B1602,K2111,.74920875
104,B1602,H2206,.44994339
104,B1602,D1101,.70618409
104,B1603,D1214,.68826175
104,B1603,D1208,.61410224
104,B1603,K2111,.98475611
104,B1604,D1214,.0098220278
104,B1604,K2111,.42492175
104,B1604,D1208,.80903214
104,C1301,K1304,.058278061
104,C1301,K1302,.62549883
104,C1301,D1214,.069164693
104,C1302,K1304,.54335248
104,C1302,D1209,.51595587
104,C1302,D1211,.2867476
104,C1303,D1214,.11175602
104,C1303,D1209,.61011058
104,C1303,K1304,.15825021
104,C1401,K1304,.49629429
104,C1401,K2111,.37372598
104,C1401,D1208,.48997763
104,D1501,D1101,.86949128
104,D1501,D1209,.65189219
104,D1501,D1102,.60691512
104,D1502,D1102,.24789844
104,D1502,D1104,.1150066
104,D1502,D1101,.82953835
104,D1503,D1102,.10515775
104,D1503,D1104,.69135088
104,D1503,D1101,.29612714
104,D1504,K2111,.048372701
104,D1505,D1208,.04126624
104,D1505,D1101,.39607412
104,D1505,D1102,.42065644
104,D1506,K2111,.94427699
104,D1506,D1208,.38249961
104,D1506,G1101,.61130118
104,D1507,H3302,.80098999
104,D1507,D1101,.064327858
104,D1507,D1102,.89295495
104,D1508,D1208,.59770805
104,D1508,D1214,.16132908
104,D1509,D1101,.11411774
104,D1509,D1102,.9368636
104,D1509,D1104,.53819048
104,E1102,D1212,.45114136
104,E1102,K1303,.050821532
104,E1102,D1211,.84383792
104,E1105,D1212,.81077248
104,E1106,K2111,.15038499
104,E1107,K2111,.6061222
104,E1107,G1101,.26942125
104,E1108,K2111,.30657852
104,E1201,D1104,.75549155
104,E1201,D1102,.49895501
104,E1201,D1208,.29203728
104,E1202,K1303,.84022492
104,E1202,H3302,.63068873
104,E1203,D1214,.71541077
104,E1204,D1214,.747069
104,E1204,G1101,.22501582
104,E1205,I1401,.26880127
104,E1205,K2111,.70921952
104,F1501,F1302,.61453944
104,F1502,F1202,.84937871
104,F1502,F1302,.57715207
104,F1503,K2111,.20062907
104,F1503,H2206,.83212787
104,G1201,K1303,.10169613
104,G1201,G1101,.32409066
104,G1201,K2111,.52290756
104,G1202,K2111,.23870073
104,G1202,K1303,.34874845
104,G1202,G1101,.93624616
104,G1203,G1101,.87671816
104,G1203,D1208,.022870954
104,G1203,K1303,.031225963
104,G1204,D1101,.36229771
104,G1204,G1101,.89370614
104,G1204,K1303,.17253639
104,G1205,N4101,.47855005
104,G1205,H3302,.58173877
104,G1206,K1302,.86203498
104,G1206,D1208,.44941559
104,G1206,K1304,.89066887
104,G1501,D1214,.35157028
104,G1501,D1104,.47214326
104,G1501,K1304,.94131392
104,G1502,D1106,.69468033
104,G1502,D1209,.99280173
104,G1502,K1304,.67974907
104,G1503,D1106,.048931614
104,G1601,D1104,.90136981
104,G1601,D1102,.35502669
104,G1601,K2111,.33182532
104,G1602,D1104,.23890767
104,G1602,D1102,.89291543
104,G1602,K2111,.90485591
104,G1603,D1106,.34973869
104,G1603,D1102,.21616334
104,G1603,D1104,.007162042
104,G1604,D1102,.42015839
104,G1604,D1104,.067869559
104,G1604,D1101,.72359866
104,G1605,D1104,.22520857
104,G1605,D1106,.99211556
104,G1605,D1102,.10721963
104,G1701,K1303,.3613556
104,G1701,G1101,.14364786
104,G1701,K2111,.97912455
104,G1702,D1209,.28629613
104,G1702,H3302,.12942304
104,G1703,D1208,.6936571
104,G1703,G1101,.55845505
104,H2701,N4105,.044236489
104,H2701,H3302,.19868138
104,H2801,D1212,.19682629
104,H2801,H2206,.67669541
104,H2801,H3302,.50771165
104,H2802,N4101,.45298254
104,H2802,H3302,.98231953
104,H2803,H3302,.74608541
104,H2804,H3302,.37809503
104,H2804,F1302,.53019196
104,H2805,D1212,.81765997
104,H2805,H3302,.59296429
104,H2805,K1303,.30794492
104,H3201,H3302,.47468954
104,H3202,H3302,.22950034
104,H3203,H3302,.49942908
104,H3203,I1307,.39274552
104,H3203,H2206,.41748819
104,J1101,K1302,.6316222
104,J1102,D1101,.68494046
104,J1102,K1302,.67188776
104,J1102,D1208,.23520494
104,J1103,K2111,.88758731
104,J1103,K1302,.015389854
104,J1103,H3302,.86038303
104,J1104,D1211,.066916861
104,J1104,K1302,.10205783
104,J1104,H3302,.15754606
104,J1301,K1303,.8099786
104,J1301,K1304,.68024772
104,J1301,D1104,.42342025
104,J1302,K2111,.019613711
104,J1302,K1303,.9869855
104,J1302,G1101,.032322299
104,J1303,D1101,.64935505
104,J1303,K1303,.51092786
104,J1303,D1208,.8160736
104,J1304,K1302,.44122598
104,J1304,K1303,.6689198
104,J1304,G1101,.77427447
104,J1305,D1208,.61372149
104,J1305,D1104,.37113124
104,J1306,K1303,.045118198
104,J1306,K2111,.68181479
104,J1307,D1214,.64978886
104,J1307,D1102,.80359203
104,J1307,K2111,.66577381
104,K1801,K2111,.96827519
104,K1801,K1303,.033680055
104,K1801,D1208,.38633826
104,K1802,K1303,.15668626
104,K1802,G1101,.73256141
104,K1802,K1302,.80591613
104,K2201,D1208,.28447455
104,K2201,H3302,.90726215
104,K2202,D1212,.076968066
104,K2203,K2111,.49344489
104,K2203,D1208,.31303519
104,K2204,K1304,.53713173
104,K2204,K2111,.82070976
104,K2204,D1208,.61794299
104,K2302,K2111,.20079464
104,K2303,N4101,.77947402
104,K2304,H3302,.42028311
104,K2305,N4105,.10277834
104,K2306,K2111,.91760337
104,K2306,I1307,.31576437
104,K2601,N4105,.76273501
104,K2601,N4101,.5332793
104,K2602,K1303,.26619443
104,K2602,G1101,.80564374
104,K2602,K2111,.64841914
104,K2603,D1208,.16813162
104,K2603,H3302,.078290261
104,K2603,F1202,.19599868
104,L1301,D1208,.5742861
104,L1301,D1214,.033784855
104,L1301,K2111,.31635952
104,L1302,D1211,.66904557
104,L1304,D1212,.1742094
104,L1304,N4105,.41198894
104,L1304,D1209,.58048755
104,L1501,D1208,.21791287
104,L1502,K2111,.65627807
104,L1502,D1208,.55719018
104,L1502,D1214,.53024161
104,L1503,H2206,.63828069
104,L1504,H3302,.14777736
104,L1504,N4105,.3590216
104,L1505,H2206,.57208806
104,L1506,H3302,.96884757
104,L1506,N4101,.4227154
104,L1506,N4105,.018887147
104,L1508,D1214,.0077969455
104,L1508,I1401,.55960721
104,L1509,H3302,.39750627
104,L1509,N4101,.58922219
104,L1509,N4105,.80333811
104,M1401,G1101,.37327978
104,M1401,D1208,.2057322
104,M1401,N4105,.84790057
104,M1402,K2111,.74137282
104,M1404,I1401,.8181929
104,M1404,H2206,.57534283
104,M1501,K2111,.41925386
104,M1501,K1902,.8144784
104,M1502,K2111,.86742222
104,M1503,H2206,.28737733
104,M1503,K2111,.20900293
104,M1503,F1202,.1230781
104,M1702,D1106,.28157884
104,M1704,K1902,.14526986
104,M1705,D1214,.070879504
104,M1705,K1902,.74837577
104,M1705,D1106,.30684415
104,M1706,D1214,.32056925
104,M1706,D1212,.7489059
104,M1706,D1209,.91227794
104,M1707,K2111,.1662842
104,N1101,H3302,.43324348
104,N1101,F1302,.84291631
104,N1102,N4105,.36069679
104,N1102,N4101,.72749412
104,N1102,F1302,.74493444
104,N1103,N4105,.19840449
104,N1103,H3302,.58367807
104,N1104,H3302,.47866845
104,N1104,F1302,.9635222
104,N1105,H3302,.17161518
104,N3101,N4101,.56829935
104,N3101,K2111,.42577261
104,N3101,N4105,.098983221
104,N3102,H2206,.82388145
104,N3102,N4101,.44680244
104,N3102,N4105,.12359054
104,N3103,D1214,.17280479
104,N3103,D1211,.048409484
104,N3103,D1106,.95500833
105,A1501,G1303,.48044086
105,A1501,D1202,.48396313
105,A1501,D1203,.58552027
105,A1502,H2206,.52894276
105,A1502,F1608,.47398975
105,A1502,A1416,.75949132
105,A1503,H2101,.22239079
105,A1503,D1101,.25663397
105,A1503,D1203,.30360916
105,A1504,D1209,.3327826
105,A1504,G1301,.6807059
105,A1504,K2111,.040487442
105,B1101,I1604,.34462383
105,B1101,F1106,.80775404
105,B1101,K2503,.52363545
105,B1301,D1102,.89085227
105,B1301,D1212,.37992045
105,B1301,D1104,.52242553
105,B1302,K2105,.54938895
105,B1302,H3302,.32054961
105,B1302,H2206,.44227085
105,B1303,F1612,.79271185
105,B1303,H2206,.42958909
105,B1303,A1416,.05580781
105,B1601,I1307,.5529356
105,B1601,H3302,.56400996
105,B1601,I1606,.79852116
105,B1602,I1606,.19951281
105,B1602,H2902,.51740551
105,B1602,D1101,.92730165
105,B1603,I1306,.15505774
105,B1603,K2502,.55153549
105,B1603,D1208,.1319612
105,B1604,D1208,.044933137
105,B1604,I1603,.99125677
105,B1604,I1306,.86543065
105,C1301,K2111,.38900676
105,C1302,D1214,.036869437
105,C1303,D1209,.65525877
