rome_id,rome_label,naf_id,naf_label,hirings
A1410,Élevage ovin ou caprin,7830Z,Autre mise à disposition de ressources humaines,62
A1411,Élevage porcin,0146Z,Élevage de porcins,102
A1411,Élevage porcin,0150Z,Culture et élevage associés,27
A1411,Élevage porcin,7830Z,Autre mise à disposition de ressources humaines,30
A1412,Fabrication et affinage de fromages,0141Z,Élevage de vaches laitières,13
A1412,Fabrication et affinage de fromages,1051C,Fabrication de fromage,108
A1412,Fabrication et affinage de fromages,4729Z,Autres commerces de détail alimentaires en magasin spécialisé,20
A1413,Fermentation de boissons alcoolisées,0121Z,Culture de la vigne,288
A1413,Fermentation de boissons alcoolisées,1102A,Fabrication de vins effervescents,206
A1413,Fermentation de boissons alcoolisées,1102B,Vinification,114
A1413,Fermentation de boissons alcoolisées,1103Z,Fabrication de cidre et de vins de fruits,12
A1413,Fermentation de boissons alcoolisées,1105Z,Fabrication de bière,38
A1413,Fermentation de boissons alcoolisées,4634Z,Commerce de gros (commerce interentreprises) de boissons,174
A1414,Horticulture et maraîchage,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",165
A1414,Horticulture et maraîchage,0113Z,"Culture de légumes, de melons, de racines et de tubercules",1098
A1414,Horticulture et maraîchage,0114Z,Culture de la canne à sucre,33
A1414,Horticulture et maraîchage,0119Z,Autres cultures non permanentes,272
A1414,Horticulture et maraîchage,0122Z,Culture de fruits tropicaux et subtropicaux,26
A1414,Horticulture et maraîchage,0124Z,Culture de fruits à pépins et à noyau,292
A1414,Horticulture et maraîchage,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,37
A1414,Horticulture et maraîchage,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",10
A1414,Horticulture et maraîchage,0129Z,Autres cultures permanentes,4
A1414,Horticulture et maraîchage,0130Z,Reproduction de plantes,393
A1414,Horticulture et maraîchage,0210Z,Sylviculture et autres activités forestières,10
A1414,Horticulture et maraîchage,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes,56
A1414,Horticulture et maraîchage,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",321
A1414,Horticulture et maraîchage,7830Z,Autre mise à disposition de ressources humaines,909
A1414,Horticulture et maraîchage,8411Z,Administration publique générale,663
A1415,Equipage de la pêche,0311Z,Pêche en mer,11
A1415,Equipage de la pêche,0321Z,Aquaculture en mer,8
A1415,Equipage de la pêche,1394Z,"Fabrication de ficelles, cordes et filets",7
A1415,Equipage de la pêche,9499Z,Autres organisations fonctionnant par adhésion volontaire,15
A1416,"Polyculture, élevage",0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",559
A1416,"Polyculture, élevage",0113Z,"Culture de légumes, de melons, de racines et de tubercules",288
A1416,"Polyculture, élevage",0114Z,Culture de la canne à sucre,123
A1416,"Polyculture, élevage",0121Z,Culture de la vigne,241
A1416,"Polyculture, élevage",0122Z,Culture de fruits tropicaux et subtropicaux,132
A1416,"Polyculture, élevage",0123Z,Culture d'agrumes,5
A1416,"Polyculture, élevage",0124Z,Culture de fruits à pépins et à noyau,273
A1416,"Polyculture, élevage",0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,15
A1416,"Polyculture, élevage",0129Z,Autres cultures permanentes,3
A1416,"Polyculture, élevage",0141Z,Élevage de vaches laitières,284
A1416,"Polyculture, élevage",0142Z,Élevage d'autres bovins et de buffles,227
A1416,"Polyculture, élevage",0145Z,Élevage d'ovins et de caprins,63
A1416,"Polyculture, élevage",0146Z,Élevage de porcins,64
A1416,"Polyculture, élevage",0147Z,Élevage de volailles,88
A1416,"Polyculture, élevage",0150Z,Culture et élevage associés,325
A1416,"Polyculture, élevage",0161Z,Activités de soutien aux cultures,380
A1416,"Polyculture, élevage",0162Z,Activités de soutien à la production animale,49
A1416,"Polyculture, élevage",4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",256
A1416,"Polyculture, élevage",4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,50
A1416,"Polyculture, élevage",7731Z,Location et location-bail de machines et équipements agricoles,21
A1416,"Polyculture, élevage",7830Z,Autre mise à disposition de ressources humaines,781
A1501,Aide aux soins animaux,0143Z,Élevage de chevaux et d'autres équidés,73
A1501,Aide aux soins animaux,7500Z,Activités vétérinaires,1118
A1501,Aide aux soins animaux,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,105
A1501,Aide aux soins animaux,9499Z,Autres organisations fonctionnant par adhésion volontaire,242
A1502,Podologie animale,0162Z,Activités de soutien à la production animale,34
A1502,Podologie animale,9329Z,Autres activités récréatives et de loisirs,11
A1503,Toilettage des animaux,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",49
A1503,Toilettage des animaux,7010Z,Activités des sièges sociaux,13
A1503,Toilettage des animaux,9609Z,Autres services personnels n.c.a.,125
A1504,Santé animale,7500Z,Activités vétérinaires,1429
A1504,Santé animale,8411Z,Administration publique générale,47
A1504,Santé animale,9499Z,Autres organisations fonctionnant par adhésion volontaire,42
B1101,Création en arts plastiques,8411Z,Administration publique générale,229
B1101,Création en arts plastiques,9002Z,Activités de soutien au spectacle vivant,186
B1101,Création en arts plastiques,9003A,Création artistique relevant des arts plastiques,31
B1101,Création en arts plastiques,9499Z,Autres organisations fonctionnant par adhésion volontaire,270
B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,17
B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,2349Z,Fabrication d'autres produits céramiques,1
B1301,Décoration d'espaces de vente et d'exposition,4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,61
B1301,Décoration d'espaces de vente et d'exposition,4759A,Commerce de détail de meubles,69
B1301,Décoration d'espaces de vente et d'exposition,4771Z,Commerce de détail d'habillement en magasin spécialisé,301
B1302,Décoration d'objets d'art et artisanaux,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,17
B1302,Décoration d'objets d'art et artisanaux,8899B,Action sociale sans hébergement n.c.a.,23
B1302,Décoration d'objets d'art et artisanaux,9003A,Création artistique relevant des arts plastiques,14
B1302,Décoration d'objets d'art et artisanaux,9499Z,Autres organisations fonctionnant par adhésion volontaire,21
B1303,Gravure - ciselure,2370Z,"Taille, façonnage et finissage de pierres",7
B1303,Gravure - ciselure,2454Z,Fonderie d'autres métaux non ferreux,3
B1303,Gravure - ciselure,3211Z,Frappe de monnaie,4
B1402,Reliure et restauration de livres et archives,1814Z,Reliure et activités connexes,12
B1402,Reliure et restauration de livres et archives,8411Z,Administration publique générale,23
B1402,Reliure et restauration de livres et archives,9003A,Création artistique relevant des arts plastiques,7
B1501,Fabrication et réparation d'instruments de musique,3220Z,Fabrication d'instruments de musique,17
B1501,Fabrication et réparation d'instruments de musique,4649Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,6
B1501,Fabrication et réparation d'instruments de musique,4759B,Commerce de détail d'autres équipements du foyer,12
B1601,Métallerie d'art,2511Z,Fabrication de structures métalliques et de parties de structures,93
B1601,Métallerie d'art,3320A,"Installation de structures métalliques, chaudronnées et de tuyauterie",43
B1601,Métallerie d'art,4332B,Travaux de menuiserie métallique et serrurerie,180
B1602,Réalisation d'objets artistiques et fonctionnels en verre,2312Z,Façonnage et transformation du verre plat,17
B1602,Réalisation d'objets artistiques et fonctionnels en verre,2313Z,Fabrication de verre creux,20
B1602,Réalisation d'objets artistiques et fonctionnels en verre,2319Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",50
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",3212Z,Fabrication d'articles de joaillerie et bijouterie,311
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,55
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,117
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",9525Z,Réparation d'articles d'horlogerie et de bijouterie,20
B1604,Réparation - montage en systèmes horlogers,2652Z,Horlogerie,19
B1604,Réparation - montage en systèmes horlogers,3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,21
B1604,Réparation - montage en systèmes horlogers,4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,67
B1604,Réparation - montage en systèmes horlogers,9525Z,Réparation d'articles d'horlogerie et de bijouterie,25
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),1392Z,"Fabrication d'articles textiles, sauf habillement",36
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",295
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),2932Z,Fabrication d'autres équipements automobiles,23
B1803,Réalisation de vêtements sur mesure ou en petite série,1413Z,Fabrication de vêtements de dessus,315
B1803,Réalisation de vêtements sur mesure ou en petite série,1419Z,Fabrication d'autres vêtements et accessoires,42
B1803,Réalisation de vêtements sur mesure ou en petite série,1420Z,Fabrication d'articles en fourrure,8
B1803,Réalisation de vêtements sur mesure ou en petite série,4751Z,Commerce de détail de textiles en magasin spécialisé,75
B1803,Réalisation de vêtements sur mesure ou en petite série,4771Z,Commerce de détail d'habillement en magasin spécialisé,268
B1803,Réalisation de vêtements sur mesure ou en petite série,7830Z,Autre mise à disposition de ressources humaines,221
B1803,Réalisation de vêtements sur mesure ou en petite série,9601B,Blanchisserie-teinturerie de détail,45
B1804,Réalisation d'ouvrages d'art en fils,1399Z,Fabrication d'autres textiles n.c.a.,13
B1805,Stylisme,1413Z,Fabrication de vêtements de dessus,238
B1805,Stylisme,3212Z,Fabrication d'articles de joaillerie et bijouterie,41
B1805,Stylisme,4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,210
B1805,Stylisme,4771Z,Commerce de détail d'habillement en magasin spécialisé,513
B1806,Tapisserie - décoration en ameublement,1392Z,"Fabrication d'articles textiles, sauf habillement",54
B1806,Tapisserie - décoration en ameublement,3109A,Fabrication de sièges d'ameublement d'intérieur,40
B1806,Tapisserie - décoration en ameublement,3109B,Fabrication d'autres meubles et industries connexes de l'ameublement,57
B1806,Tapisserie - décoration en ameublement,9002Z,Activités de soutien au spectacle vivant,213
B1806,Tapisserie - décoration en ameublement,9524Z,Réparation de meubles et d'équipements du foyer,33
C1101,Conception - développement produits d'assurances,6622Z,Activités des agents et courtiers d'assurances,20
C1102,Conseil clientèle en assurances,6419Z,Autres intermédiations monétaires,849
C1102,Conseil clientèle en assurances,6511Z,Assurance vie,200
C1102,Conseil clientèle en assurances,6512Z,Autres assurances,1332
C1102,Conseil clientèle en assurances,6520Z,Réassurance,22
C1102,Conseil clientèle en assurances,6622Z,Activités des agents et courtiers d'assurances,1604
C1103,Courtage en assurances,6511Z,Assurance vie,16
C1103,Courtage en assurances,6512Z,Autres assurances,52
C1103,Courtage en assurances,6622Z,Activités des agents et courtiers d'assurances,121
C1104,Direction d'exploitation en assurances,6512Z,Autres assurances,26
C1104,Direction d'exploitation en assurances,6622Z,Activités des agents et courtiers d'assurances,86
C1104,Direction d'exploitation en assurances,7022Z,Conseil pour les affaires et autres conseils de gestion,9
C1105,Études actuarielles en assurances,6512Z,Autres assurances,66
C1105,Études actuarielles en assurances,6520Z,Réassurance,17
C1105,Études actuarielles en assurances,6622Z,Activités des agents et courtiers d'assurances,44
C1105,Études actuarielles en assurances,7022Z,Conseil pour les affaires et autres conseils de gestion,42
C1106,Expertise risques en assurances,6512Z,Autres assurances,12
C1106,Expertise risques en assurances,6621Z,Évaluation des risques et dommages,31
C1106,Expertise risques en assurances,6622Z,Activités des agents et courtiers d'assurances,17
C1107,Indemnisations en assurances,6512Z,Autres assurances,56
C1107,Indemnisations en assurances,6621Z,Évaluation des risques et dommages,21
C1107,Indemnisations en assurances,6622Z,Activités des agents et courtiers d'assurances,51
C1108,Management de groupe et de service en assurances,6512Z,Autres assurances,42
C1108,Management de groupe et de service en assurances,6622Z,Activités des agents et courtiers d'assurances,48
C1108,Management de groupe et de service en assurances,7022Z,Conseil pour les affaires et autres conseils de gestion,15
C1109,Rédaction et gestion en assurances,6511Z,Assurance vie,283
C1109,Rédaction et gestion en assurances,6512Z,Autres assurances,1187
C1109,Rédaction et gestion en assurances,6520Z,Réassurance,69
C1109,Rédaction et gestion en assurances,6622Z,Activités des agents et courtiers d'assurances,817
C1109,Rédaction et gestion en assurances,6629Z,Autres activités auxiliaires d'assurance et de caisses de retraite,74
C1109,Rédaction et gestion en assurances,8430B,Gestion des retraites complémentaires,126
C1110,Souscription d'assurances,6512Z,Autres assurances,111
C1110,Souscription d'assurances,6622Z,Activités des agents et courtiers d'assurances,109
C1110,Souscription d'assurances,7022Z,Conseil pour les affaires et autres conseils de gestion,6
C1201,Accueil et services bancaires,5310Z,Activités de poste dans le cadre d'une obligation de service universel,574
C1201,Accueil et services bancaires,6411Z,Activités de banque centrale,14
C1201,Accueil et services bancaires,6419Z,Autres intermédiations monétaires,3691
C1201,Accueil et services bancaires,6622Z,Activités des agents et courtiers d'assurances,281
C1202,Analyse de crédits et risques bancaires,6419Z,Autres intermédiations monétaires,454
C1202,Analyse de crédits et risques bancaires,6491Z,Crédit-bail,24
C1202,Analyse de crédits et risques bancaires,6492Z,Autre distribution de crédit,70
C1202,Analyse de crédits et risques bancaires,7022Z,Conseil pour les affaires et autres conseils de gestion,51
C1203,Relation clients banque/finance,6419Z,Autres intermédiations monétaires,472
C1203,Relation clients banque/finance,6512Z,Autres assurances,51
C1203,Relation clients banque/finance,6622Z,Activités des agents et courtiers d'assurances,51
C1204,Conception et expertise produits bancaires et financiers,6419Z,Autres intermédiations monétaires,17
C1205,Conseil en gestion de patrimoine financier,6419Z,Autres intermédiations monétaires,618
C1205,Conseil en gestion de patrimoine financier,6622Z,Activités des agents et courtiers d'assurances,123
C1205,Conseil en gestion de patrimoine financier,7022Z,Conseil pour les affaires et autres conseils de gestion,128
C1206,Gestion de clientèle bancaire,6411Z,Activités de banque centrale,12
C1206,Gestion de clientèle bancaire,6419Z,Autres intermédiations monétaires,3917
C1206,Gestion de clientèle bancaire,6491Z,Crédit-bail,33
C1206,Gestion de clientèle bancaire,6492Z,Autre distribution de crédit,229
C1206,Gestion de clientèle bancaire,6512Z,Autres assurances,490
C1206,Gestion de clientèle bancaire,6612Z,Courtage de valeurs mobilières et de marchandises,16
C1206,Gestion de clientèle bancaire,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",220
C1206,Gestion de clientèle bancaire,6622Z,Activités des agents et courtiers d'assurances,405
C1207,Management en exploitation bancaire,6419Z,Autres intermédiations monétaires,109
C1207,Management en exploitation bancaire,6492Z,Autre distribution de crédit,10
C1207,Management en exploitation bancaire,7022Z,Conseil pour les affaires et autres conseils de gestion,15
C1301,Front office marchés financiers,4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",2
C1301,Front office marchés financiers,6419Z,Autres intermédiations monétaires,129
C1301,Front office marchés financiers,6612Z,Courtage de valeurs mobilières et de marchandises,25
C1301,Front office marchés financiers,6630Z,Gestion de fonds,52
C1301,Front office marchés financiers,7022Z,Conseil pour les affaires et autres conseils de gestion,95
C1302,Gestion back et middle-office marchés financiers,6202A,Conseil en systèmes et logiciels informatiques,113
C1302,Gestion back et middle-office marchés financiers,6419Z,Autres intermédiations monétaires,498
C1302,Gestion back et middle-office marchés financiers,6630Z,Gestion de fonds,63
C1302,Gestion back et middle-office marchés financiers,7022Z,Conseil pour les affaires et autres conseils de gestion,76
C1303,Gestion de portefeuilles sur les marchés financiers,6630Z,Gestion de fonds,48
C1303,Gestion de portefeuilles sur les marchés financiers,7022Z,Conseil pour les affaires et autres conseils de gestion,34
C1401,Gestion en banque et assurance,6419Z,Autres intermédiations monétaires,801
C1401,Gestion en banque et assurance,6512Z,Autres assurances,219
C1401,Gestion en banque et assurance,6622Z,Activités des agents et courtiers d'assurances,245
C1501,Gérance immobilière,6820A,Location de logements,280
C1501,Gérance immobilière,6831Z,Agences immobilières,442
C1501,Gérance immobilière,6832A,Administration d'immeubles et autres biens immobiliers,595
C1502,Gestion locative immobilière,4110D,Supports juridiques de programmes,19
C1502,Gestion locative immobilière,6499Z,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",31
C1502,Gestion locative immobilière,6820A,Location de logements,872
C1502,Gestion locative immobilière,6831Z,Agences immobilières,932
C1502,Gestion locative immobilière,6832A,Administration d'immeubles et autres biens immobiliers,835
C1503,Management de projet immobilier,4110A,Promotion immobilière de logements,393
C1503,Management de projet immobilier,4110C,Promotion immobilière d'autres bâtiments,70
C1503,Management de projet immobilier,6820A,Location de logements,221
C1503,Management de projet immobilier,6831Z,Agences immobilières,190
C1504,Transaction immobilière,4110A,Promotion immobilière de logements,412
C1504,Transaction immobilière,4110C,Promotion immobilière d'autres bâtiments,31
C1504,Transaction immobilière,6810Z,Activités des marchands de biens immobiliers,134
C1504,Transaction immobilière,6831Z,Agences immobilières,3493
C1504,Transaction immobilière,6832A,Administration d'immeubles et autres biens immobiliers,596
C1504,Transaction immobilière,7740Z,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright",15
D1101,Boucherie,1011Z,Transformation et conservation de la viande de boucherie,908
D1101,Boucherie,1013B,Charcuterie,237
D1101,Boucherie,4632A,Commerce de gros (commerce interentreprises) de viandes de boucherie,187
D1101,Boucherie,4711C,Supérettes,251
D1101,Boucherie,4711D,Supermarchés,3322
D1101,Boucherie,4711F,Hypermarchés,2094
D1101,Boucherie,4722Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,3414
D1102,Boulangerie - viennoiserie,1071A,Fabrication industrielle de pain et de pâtisserie fraîche,659
D1102,Boulangerie - viennoiserie,1071B,Cuisson de produits de boulangerie,300
D1102,Boulangerie - viennoiserie,1071C,Boulangerie et boulangerie-pâtisserie,9364
D1102,Boulangerie - viennoiserie,1071D,Pâtisserie,298
D1102,Boulangerie - viennoiserie,4711F,Hypermarchés,1488
