Rome1;Rome2;Rome3;Intitule;OGR
A;13;03;Ingénieur / Ingénieure en expérimentation animale;15760
A;13;03;Ingénieur / Ingénieure en expérimentation végétale;15761
A;13;03;Ingénieur / Ingénieure en techniques d'expérimentation animale;15788
A;13;03;Ingénieur / Ingénieure halieute;15814
A;13;03;Ingénieur / Ingénieure horticole;15815
A;13;03;Ingénieur / Ingénieure méthanisation;200082
A;13;03;Ingénieur / Ingénieure paysagiste;15852
A;14; ;Production; 
A;14;01;Aide agricole de production fruitière ou viticole; 
A;14;01;Aide agricole en arboriculture;10806
A;14;01;Aide agricole en production fruitière;10810
A;14;01;Aide agricole en viticulture;10814
A;14;01;Aide arboricole;10815
A;14;01;Aide-arboriculteur / Aide-arboricultrice;10864
A;14;01;Aide-pépiniériste;10886
A;14;01;Aide viticole;10862
A;14;01;Aide-viticulteur / Aide-viticultrice;10900
A;14;01;Cueilleur / Cueilleuse de cerises;13853
A;14;01;Cueilleur / Cueilleuse de fruits;13855
A;14;01;Cueilleur / Cueilleuse de pêches;13856
A;14;01;Cueilleur / Cueilleuse de poires;13857
A;14;01;Cueilleur / Cueilleuse de pommes;13858
A;14;01;Planteur / Planteuse de bananes;17817
A;14;01;Porteur / Porteuse de hottes;17892
A;14;01;Vendangeur / Vendangeuse;20510
A;14;02;Aide agricole de production légumière ou végétale; 
A;14;02;Aide agricole en maraîchage-horticulture;10807
A;14;02;Aide agricole en polyculture;10808
A;14;02;Aide agricole en production florale;10809
A;14;02;Aide agricole en production légumière;10812
A;14;02;Aide agricole en production végétale;10813
A;14;02;Aide horticole;10849
A;14;02;Aide maraîcher / maraîchère;10853
A;14;02;Castreur / Castreuse de maïs;11710
A;14;02;Coupeur / Coupeuse de canne à sucre;13775
A;14;02;Cueilleur / Cueilleuse de feuilles de tabac;13854
A;14;02;Planteur / Planteuse de café - thé;17818
A;14;02;Planteur / Planteuse de canne à sucre;17819
A;14;02;Planteur / Planteuse de tabac;17820
A;14;02;Ramasseur / Ramasseuse d'ail;18275
A;14;02;Ramasseur / Ramasseuse d'asperges;18276
A;14;02;Ramasseur / Ramasseuse d'endives;18281
A;14;02;Ramasseur / Ramasseuse de champignons;18277
A;14;02;Ramasseur / Ramasseuse de légumes;18278
A;14;02;Ramasseur / Ramasseuse de pommes de terre;18279
A;14;03;Aide d'élevage agricole et aquacole; 
A;14;03;Aide agricole en production laitière;10811
A;14;03;Aide d'élevage aquacole;10832
A;14;03;Aide d'élevage bovin;10833
A;14;03;Aide d'élevage caprin;10834
A;14;03;Aide d'élevage cunicole (lapins);10835
A;14;03;Aide d'élevage de chevaux;10836
A;14;03;Aide d'élevage en production de volaille;10837
A;14;03;Aide d'élevage en production laitière;10838
A;14;03;Aide d'élevage ostréicole;10839
A;14;03;Aide d'élevage ovin;10840
A;14;03;Aide d'élevage porcin;10841
A;14;03;Aide de conchyliculture;10825
A;14;03;Aide de pisciculture;10829
A;14;03;Aide-vacher / Aide-vachère;10898
A;14;03;Palefrenier / Palefrenière;17546
A;14;03;Ramasseur / Ramasseuse d'oeufs;18282
A;14;03;Ramasseur / Ramasseuse de volaille;18280
A;14;03;Sexeur / Sexeuse de volailles;19431
A;14;03;Tondeur / Tondeuse de moutons;20364
A;14;04;Aquaculture; 
A;14;04;Algoculteur / Algocultrice (algues);10922
A;14;04;Aquaculteur / Aquacultrice;11099
A;14;04;Astaciculteur / Astacicultrice (écrevisses);11361
A;14;04;Chef d'exploitation aquacole;12511
A;14;04;Conchyliculteur / Conchylicultrice (coquillages);12843
A;14;04;Crustaciculteur / Crustacicultrice (crustacés);13851
A;14;04;Échiniculteur / Échinicultrice (oursins);14558
A;14;04;Mytiliculteur / Mytilicultrice (moules);16944
A;14;04;Ostréiculteur / Ostréicultrice (huîtres);17375
A;14;04;Ouvrier / Ouvrière aquacole;17402
A;14;04;Ouvrier / Ouvrière mytilicole;17511
A;14;04;Ouvrier / Ouvrière ostréicole;17513
A;14;04;Ouvrier / Ouvrière piscicole;17517
A;14;04;Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques);17601
A;14;04;Pisciculteur / Piscicultrice;17801
A;14;04;Salmoniculteur / Salmonicultrice (saumons);19303
A;14;04;Truiticulteur / Truiticultrice (truites);20467
A;14;04;Vénériculteur / Vénéricultrice (palourdes);20649
A;14;05;Arboriculture et viticulture; 
A;14;05;Arboriculteur / Arboricultrice;11103
A;14;05;Arboriculteur ornemental / Arboricultrice ornementale;11104
A;14;05;Chef d'équipe en production arboricole;38775
A;14;05;Chef d'exploitation en arboriculture;12519
A;14;05;Chef de culture arboricole;12112
A;14;05;Chef de culture viticole;12120
A;14;05;Chef de station fruitière;12374
A;14;05;Contremaître / Contremaîtresse en arboriculture;13577
A;14;05;Fruiticulteur / Fruiticultrice;15172
A;14;05;Kiwiculteur / Kiwicultrice;16141
A;14;05;Oléiculteur / Oléicultrice;17044
A;14;05;Ouvrier / Ouvrière arboricole;17403
A;14;05;Ouvrier / Ouvrière en arboriculture;17490
A;14;05;Ouvrier / Ouvrière en viticulture;17498
A;14;05;Ouvrier viticole / Ouvrière viticole;17540
A;14;05;Pomiculteur / Pomicultrice;17876
A;14;05;Producteur / Productrice d'ananas;18082
A;14;05;Producteur / Productrice de bananes;18083
A;14;05;Pruniculteur / Prunicultrice;18225
A;14;05;Régisseur / Régisseuse d'exploitation viticole;18415
A;14;05;Responsable d'exploitation viticole;18996
A;14;05;Tailleur / Tailleuse de fruitiers;38078
A;14;05;Tailleur / Tailleuse de vigne;19624
A;14;05;Vigneron manipulant / Vigneronne manipulante;20689
A;14;05;Viticulteur / Viticultrice;20713
A;14;06;Encadrement équipage de la pêche; 
A;14;06;Capitaine de pêche;11668
A;14;06;Commandant / Commandante de pêche;12733
A;14;06;Lieutenant / Lieutenante de pêche;16187
A;14;06;Patron / Patronne à la pêche;17582
A;14;06;Patron / Patronne de pêche;17583
A;14;06;Second / Seconde de pêche;19355
A;14;07;Élevage bovin ou équin; 
A;14;07;Agriculteur / Agricultrice de production laitière;10802
A;14;07;Ânier / Ânière;10966
A;14;07;Bouvier / Bouvière;11583
A;14;07;Conducteur / Conductrice d'atelier de production animale bovine ou équine;12869
A;14;07;Conducteur / Conductrice d'atelier de vaches allaitantes;12872
A;14;07;Éleveur / Éleveuse d'ânes;14684
A;14;07;Éleveur / Éleveuse de bisons;14688
A;14;07;Éleveur / Éleveuse de bovins;14689
A;14;07;Éleveur / Éleveuse de chevaux;14694
A;14;07;Éleveur / Éleveuse de poneys;14708
A;14;07;Éleveur / Éleveuse de poulains;14711
A;14;07;Éleveur / Éleveuse de taurillons;14715
A;14;07;Éleveur / Éleveuse de vaches laitières;14716
A;14;07;Éleveur / Éleveuse de vaches laitières et de bétail viande;14717
A;14;07;Éleveur / Éleveuse de veaux de boucherie;14718
A;14;07;Éleveur / Éleveuse en production bovine et/ou équine;14724
A;14;07;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production bovine et/ou équine;14730
A;14;07;Étalonnier / Étalonnière;14906
A;14;07;Gardian;15211
A;14;07;Manadier / Manadière;16330
A;14;07;Ouvrier / Ouvrière agricole en production bovine;17389
A;14;07;Ouvrier / Ouvrière agricole en production équine;17394
A;14;07;Ouvrier / Ouvrière agricole en production laitière;17395
A;14;07;Ouvrier / Ouvrière d'élevage en production bovine;17463
A;14;07;Ouvrier / Ouvrière d'élevage en production bovine biologique;17464
A;14;07;Ouvrier / Ouvrière d'élevage en production équine;17468
A;14;07;Ouvrier / Ouvrière d'élevage laitier bovin;17471
A;14;07;Ouvrier / Ouvrière de production bovine;17456
A;14;07;Producteur / Productrice de lait bovin;18085
A;14;07;Producteur / Productrice de viande bovine;18098
A;14;07;Producteur / Productrice de viande équine;18099
A;14;07;Responsable d'élevage bovin;18900
A;14;07;Responsable d'élevage équin;18904
A;14;07;Responsable de troupeau;18890
A;14;07;Vacher / Vachère;20498
A;14;08;Élevage d'animaux sauvages ou de compagnie; 
A;14;08;Animalier / Animalière de laboratoire;10967
A;14;08;Animalier / Animalière en parc zoologique;10968
A;14;08;Apiculteur / Apicultrice;11079
A;14;08;Coturniculteur / Coturnicultrice (cailles);13763
A;14;08;Cyniculteur / Cynicultrice (gibiers);13882
A;14;08;Dresseur / Dresseuse de chiens;14532
A;14;08;Éducateur / Éducatrice canin;38628
A;14;08;Éleveur / Éleveuse d'animaux à fourrure;14685
A;14;08;Éleveur / Éleveuse d'animaux de compagnie;14686
A;14;08;Éleveur / Éleveuse d'autruches;14687
A;14;08;Éleveur / Éleveuse d'escargots;14721
A;14;08;Éleveur / Éleveuse d'insectes;14722
A;14;08;Éleveur / Éleveuse de cervidés;14692
A;14;08;Éleveur / Éleveuse de chats;14693
A;14;08;Éleveur / Éleveuse de chiens;14698
A;14;08;Éleveur / Éleveuse de chiens guides;14699
A;14;08;Éleveur / Éleveuse de crocodiles;14700
A;14;08;Éleveur / Éleveuse de grands gibiers;14701
A;14;08;Éleveur / Éleveuse de lamas;14702
A;14;08;Éleveur / Éleveuse de petits gibiers;14707
A;14;08;Éleveur / Éleveuse de reptiles;14712
A;14;08;Éleveur / Éleveuse de reptiles aquatiques;14713
A;14;08;Éleveur / Éleveuse de rongeurs;14714
A;14;08;Éleveur / Éleveuse de visons;14719
A;14;08;Féliniculteur / Félinicultrice (félins);15062
A;14;08;Garçon / Fille de chenil;15189
A;14;08;Héliciculteur / Hélicicultrice (escargots);15467
A;14;08;Lombriculteur / Lombricultrice (lombrics);16215
A;14;08;Ouvrier / Ouvrière cynicole;17416
A;14;08;Raniculteur / Ranicultrice (grenouilles);18287
A;14;08;Sériciculteur / Séricicultrice (vers à soie);19412
A;14;08;Zootechnicien / Zootechnicienne;20741
A;14;09;Élevage de lapins et volailles; 
A;14;09;Accouveur / Accouveuse;10232
A;14;09;Aviculteur / Avicultrice;11467
A;14;09;Éleveur / Éleveuse de lapins;14703
A;14;09;Éleveur / Éleveuse de lapins angoras;14704
A;14;09;Éleveur / Éleveuse de lapins ou de volailles;14705
A;14;09;Éleveur / Éleveuse de volailles;14720
A;14;09;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de lapins;14731
A;14;09;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de volailles;14732
A;14;09;Engraisseur / Engraisseuse de lapins ou de volailles;14837
A;14;09;Gaveur / Gaveuse;15242
A;14;09;Naisseur / Naisseuse en production de lapins ou de volailles;16948
A;14;09;Ouvrier / Ouvrière agricole en production de lapins;17392
A;14;09;Ouvrier / Ouvrière agricole en production de volailles;17393
A;14;09;Ouvrier / Ouvrière agricole spécialisation aviculture;17401
A;14;09;Ouvrier / Ouvrière avicole;17405
A;14;09;Ouvrier / Ouvrière cunicole (lapins);17415
A;14;09;Ouvrier / Ouvrière d'accouvage;17419
A;14;09;Ouvrier / Ouvrière d'élevage en production de lapins;17466
A;14;09;Ouvrier / Ouvrière d'élevage en production de volailles;17467
A;14;09;Responsable d'élevage avicole;18899
A;14;09;Responsable d'élevage cunicole (lapins);18901
A;14;09;Responsable de poulailler;18810
A;14;10;Élevage ovin ou caprin; 
A;14;10;Berger / Bergère;11499
A;14;10;Berger / Bergère d'estives;11501
A;14;10;Berger / Bergère de production laitière;11500
A;14;10;Berger fromager / Bergère fromagère;11502
A;14;10;Chevrier / Chevrière;12618
A;14;10;Chevrier fromager / Chevrière fromagère;12619
A;14;10;Éleveur / Éleveuse d'agneaux;14683
A;14;10;Éleveur / Éleveuse d'ovins;14723
A;14;10;Éleveur / Éleveuse de brebis laitières;14690
A;14;10;Éleveur / Éleveuse de caprins;14691
A;14;10;Éleveur / Éleveuse de chèvres;14696
A;14;10;Éleveur / Éleveuse de chèvres angoras;14697
A;14;10;Éleveur / Éleveuse de moutons;14706
A;14;10;Éleveur / Éleveuse en production ovine et caprine;14725
A;14;10;Éleveur laitier / Éleveuse laitière en production ovine et caprine;14728
A;14;10;Éleveur-sélectionneur / Éleveuse-sélectionneuse d'ovins et de caprins;14729
A;14;10;Moutonnier / Moutonnière;16933
A;14;10;Ouvrier / Ouvrière agricole en production caprine;17391
A;14;10;Ouvrier / Ouvrière agricole en production laitière d'ovins ou de caprins;17396
A;14;10;Ouvrier / Ouvrière agricole en production ovine;17397
A;14;10;Ouvrier / Ouvrière d'élevage en production caprine;17465
A;14;10;Ouvrier / Ouvrière d'élevage en production ovine;17469
A;14;10;Ouvrier / Ouvrière d'élevage laitier en production ovine ou caprine;17472
A;14;10;Ouvrier / Ouvrière de production ovine;17457
A;14;10;Producteur / Productrice de lait d'ovin et de caprin;18086
A;14;10;Responsable d'élevage en production caprine;18902
A;14;10;Responsable d'élevage en production ovine;18903
A;14;11;Élevage porcin; 
A;14;11;Chef d'élevage porcin;12384
A;14;11;Chef d'exploitation agricole porcine;12510
A;14;11;Chef de production agricole porcine;12216
A;14;11;Conducteur / Conductrice d'atelier de production animale porcine;12871
A;14;11;Éleveur / Éleveuse de porcins;14709
A;14;11;Éleveur / Éleveuse de porcs;14710
A;14;11;Éleveur / Éleveuse en production porcine;14726
A;14;11;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production porcine;14733
A;14;11;Engraisseur / Engraisseuse de porcelets;14838
A;14;11;Naisseur-engraisseur / Naisseuse-engraisseuse porcin;16949
A;14;11;Ouvrier / Ouvrière agricole en production porcine;17398
A;14;11;Ouvrier / Ouvrière d'élevage en production porcine;17470
A;14;11;Ouvrier / Ouvrière de production porcine;17458
A;14;11;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente en élevage porcin;17400
A;14;11;Porcher / Porchère;17890
A;14;11;Producteur / Productrice hors sol porcin;18104
A;14;11;Régisseur / Régisseuse d'exploitation agricole porcine;18414
A;14;11;Régisseur / Régisseuse en agriculture porcine;18422
A;14;11;Régisseur / Régisseuse polyculture élevage porcin;18425
A;14;11;Responsable d'élevage porcin;18905
A;14;11;Second / Seconde d'exploitation porcine;19358
A;14;11;Technicien spécialisé / Technicienne spécialisée en conduite d'élevage porcin;20260
A;14;12;Fabrication et affinage de fromages; 
A;14;12;Affineur / Affineuse de fromages;10329
A;14;12;Fabricant-affineur / Fabricante-affineuse de fromages;15028
A;14;12;Fromager / Fromagère;15170
A;14;12;Fromager-affineur / Fromagère-affineuse;15171
A;14;13;Fermentation de boissons alcoolisées; 
A;14;13;Aide caviste;38571
A;14;13;Brasseur / Brasseuse de bière;11590
A;14;13;Brasseur-malteur / Brasseuse-malteuse;11592
A;14;13;Caviste;11717
A;14;13;Chef caviste;12008
A;14;13;Chef de cave;12080
A;14;13;Cidrier / Cidrière;12638
A;14;13;Cuviste;140927
A;14;13;Employé / Employée de chai;14761
A;14;13;Maître / Maîtresse de chai;16299
A;14;13;Oenologue;17010
A;14;13;Oenologue conseil;17011
A;14;13;Oenologue en recherche développement;17012
A;14;13;Ouvrier / Ouvrière de chai;17423
A;14;13;Ouvrier / Ouvrière de cidrerie;17425
A;14;14;Horticulture et maraîchage; 
A;14;14;Aspigiculteur / Aspigicultrice;11166
A;14;14;Bulbiculteur / Bulbicultrice;11608
A;14;14;Champignonniste;11731
A;14;14;Chef d'équipe en production maraîchère;38774
A;14;14;Chef d'exploitation en maraîchage-horticulture;12520
A;14;14;Chef de culture champignonniste;12114
A;14;14;Chef de culture en exploitation maraîchère;12115
A;14;14;Chef de culture floriculture;12116
A;14;14;Chef de culture horticole;12117
A;14;14;Chef de culture maraîchère;12118
A;14;14;Chef de culture pépinière;12119
A;14;14;Conducteur / Conductrice de travaux horticoles;13216
A;14;14;Cressiculteur / Cressicultrice;13846
A;14;14;Cultivateur / Cultivatrice d'endives;13875
A;14;14;Cultivateur / Cultivatrice de primeurs;13874
A;14;14;Directeur / Directrice des cultures;14364
A;14;14;Endivier / Endivière;14824
A;14;14;Floriculteur / Floricultrice;15098
A;14;14;Horticulteur / Horticultrice;15476
A;14;14;Lavandiculteur / Lavandicultrice;16164
A;14;14;Maraîcher / Maraîchère;16384
A;14;14;Osiériculteur / Osiéricultrice;17372
A;14;14;Ouvrier / Ouvrière agricole en maraîchage-horticulture;17388
A;14;14;Ouvrier / Ouvrière champignonniste;17411
A;14;14;Ouvrier / Ouvrière de champignonnière;17424
A;14;14;Ouvrier / Ouvrière de culture maraîchère;17427
A;14;14;Ouvrier / Ouvrière en production horticole biologique;17494
A;14;14;Ouvrier / Ouvrière en production maraîchère biologique;17495
A;14;14;Ouvrier / Ouvrière en production pépinière biologique;17496
A;14;14;Ouvrier / Ouvrière horticole;17504
A;14;14;Ouvrier / Ouvrière horticole serriste;17505
A;14;14;Ouvrier / Ouvrière pépiniériste;17516
A;14;14;Ouvrier / Ouvrière serriste;17530
A;14;14;Ouvrier maraîcher / Ouvrière maraîchère;17506
A;14;14;Ouvrier maraîcher / Ouvrière maraîchère de culture légumière;17507
A;14;14;Ouvrier maraîcher / Ouvrière maraîchère primeuriste;17508
A;14;14;Pépiniériste;17653
A;14;14;Pépiniériste viticole;17654
A;14;14;Primeuriste;18067
A;14;14;Producteur / Productrice de plantes à parfum;18088
A;14;14;Producteur / Productrice de plantes aromatiques;18089
A;14;14;Producteur / Productrice de plantes in vitro;18090
