code,ROME1,ROME2,ROME3,label,ROME
17515,A,12,03,Ouvrier / Ouvrière paysagiste ,A1203
38077,A,12,03,Technicien / Technicienne paysagiste,A1203
10780,A,12,04,Agent / Agente technique des parcs nationaux,A1204
10358,A,12,04,Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel,A1204
14562,A,12,04,Eco garde,A1204
15195,A,12,04,Garde de parc naturel,A1204
15198,A,12,04,Garde du littoral,A1204
15199,A,12,04,Garde forestier / forestière,A1204
15200,A,12,04,Garde moniteur / monitrice de parc national,A1204
15201,A,12,04,Garde moniteur / monitrice de parc naturel,A1204
15202,A,12,04,Garde national / nationale de la chasse et de la faune sauvage,A1204
15204,A,12,04,Garde technicien / technicienne de réserve naturelle,A1204
15205,A,12,04,Garde-chasse,A1204
15206,A,12,04,Garde-chasse particulier / particulière,A1204
15208,A,12,04,Garde-pêche,A1204
15210,A,12,04,Garde-rivière,A1204
19706,A,12,04,Technicien / Technicienne cynégétique ,A1204
38379,A,12,04,Technicien / Technicienne de rivière,A1204
10514,A,12,05,Agent / Agente de maîtrise d'exploitation forestière,A1205
10795,A,12,05,Agent technique forestier / Agente technique forestière,A1205
12136,A,12,05,Chef de district forestier,A1205
38438,A,12,05,Chef d'équipe de travaux forestiers,A1205
38439,A,12,05,Conducteur / Conductrice de travaux forestiers,A1205
13572,A,12,05,Contremaître / Contremaîtresse d'exploitation forestière,A1205
15010,A,12,05,Exploitant forestier / Exploitante forestière,A1205
15109,A,12,05,Forestier / Forestière,A1205
16353,A,12,05,Manoeuvre forestier / forestière,A1205
17502,A,12,05,Ouvrier forestier / Ouvrière forestière ,A1205
17536,A,12,05,Ouvrier sylvicole / Ouvrière sylvicole ,A1205
17537,A,12,05,Ouvrier sylviculteur / Ouvrière sylvicultrice,A1205
17889,A,12,05,Populiculteur / Populicultrice,A1205
19606,A,12,05,Sylviculteur / Sylvicultrice,A1205
10972,A,13,01,Animateur / Animatrice agricole,A1301
11050,A,13,01,Animateur / Animatrice d'organismes agricoles,A1301
13350,A,13,01,Conseiller / Conseillère agricole,A1301
13386,A,13,01,Conseiller / Conseillère d'agriculture,A1301
13388,A,13,01,Conseiller / Conseillère de gestion agricole,A1301
13395,A,13,01,Conseiller / Conseillère d'élevage en production laitière,A1301
38324,A,13,01,Conseiller / Conseillère en génie climatique agricole,A1301
13439,A,13,01,Conseiller / Conseillère en irrigation,A1301
13440,A,13,01,Conseiller / Conseillère en machinisme agricole,A1301
13481,A,13,01,Conseiller / Conseillère technique agricole,A1301
13496,A,13,01,Conseiller / Conseillère viticole,A1301
13459,A,13,01,Conseiller forestier / Conseillère forestière,A1301
15498,A,13,01,Hydraulicien / Hydraulicienne en agriculture,A1301
19657,A,13,01,Technicien / Technicienne arboricole,A1301
19667,A,13,01,Technicien / Technicienne avicole,A1301
19670,A,13,01,Technicien / Technicienne bâtiments d'élevage,A1301
19679,A,13,01,Technicien / Technicienne bovin,A1301
19683,A,13,01,Technicien / Technicienne caprin,A1301
19705,A,13,01,Technicien / Technicienne cunicole,A1301
19709,A,13,01,Technicien / Technicienne d'agriculture,A1301
19743,A,13,01,Technicien / Technicienne de culture maraîchère,A1301
19875,A,13,01,Technicien / Technicienne de maintenance végétale,A1301
19900,A,13,01,Technicien / Technicienne de production animale,A1301
19932,A,13,01,Technicien / Technicienne d'élevage,A1301
19953,A,13,01,Technicien / Technicienne des travaux forestiers,A1301
19968,A,13,01,Technicien / Technicienne d'expérimentation,A1301
20019,A,13,01,Technicien / Technicienne du génie rural,A1301
20020,A,13,01,Technicien / Technicienne du génie sanitaire et environnement,A1301
20036,A,13,01,Technicien / Technicienne en agriculture biologique,A1301
20037,A,13,01,Technicien / Technicienne en alimentation animale,A1301
20066,A,13,01,Technicien / Technicienne en fabrication fromagère,A1301
20135,A,13,01,Technicien / Technicienne équin ,A1301
20165,A,13,01,Technicien / Technicienne horticole,A1301
20207,A,13,01,Technicien / Technicienne ovin ,A1301
20218,A,13,01,Technicien / Technicienne porcin,A1301
20252,A,13,01,Technicien / Technicienne semences ,A1301
20286,A,13,01,Technicien / Technicienne viticole ,A1301
20147,A,13,01,Technicien foncier / Technicienne foncière,A1301
20148,A,13,01,Technicien foncier / Technicienne foncière en agriculture,A1301
20149,A,13,01,Technicien forestier / Technicienne forestière ,A1301
20150,A,13,01,Technicien forestier / Technicienne forestière d'études et de recherche,A1301
20179,A,13,01,Technicien laitier / Technicienne laitière ,A1301
10401,A,13,02,Agent / Agente de collecte d'embryons,A1302
10566,A,13,02,Agent / Agente de production laitière,A1302
10754,A,13,02,Agent / Agente sanitaire apicole,A1302
10755,A,13,02,Agent / Agente sanitaire de l'agriculture,A1302
10759,A,13,02,Agent / Agente technique agricole,A1302
10778,A,13,02,Agent / Agente technique d'élevage,A1302
10789,A,13,02,Agent / Agente technique en produits de traitement,A1302
11330,A,13,02,Assistant / Assistante sanitaire apicole,A1302
13594,A,13,02,Contrôleur / Contrôleuse de croissance de l'agriculture,A1302
13595,A,13,02,Contrôleur / Contrôleuse de culture,A1302
13612,A,13,02,Contrôleur / Contrôleuse de performance,A1302
13662,A,13,02,Contrôleur / Contrôleuse viticole,A1302
13642,A,13,02,Contrôleur laitier / Contrôleuse laitière,A1302
13665,A,13,02,Contrôleur-pointeur / Contrôleuse-pointeuse,A1302
15918,A,13,02,Inséminateur artificiel / Inséminatrice artificielle,A1302
17673,A,13,02,Peseur laitier / Peseuse laitière,A1302
19652,A,13,02,Technicien / Technicienne agricole ,A1302
19724,A,13,02,Technicien / Technicienne de contrôle de croissance de l'agriculture,A1302
19736,A,13,02,Technicien / Technicienne de contrôle laitier,A1302
19917,A,13,02,Technicien / Technicienne de production laitière,A1302
19951,A,13,02,Technicien / Technicienne des services vétérinaires,A1302
10804,A,13,03,Agro-économiste,A1303
11522,A,13,03,Bio-ingénieur / Bio-ingénieure,A1303
38760,A,13,03,Chargé / Chargée de mission biodiversité,A1303
11824,A,13,03,Chargé / Chargée de mission en agriculture,A1303
11861,A,13,03,Chargé / Chargée de recherche en agriculture,A1303
11896,A,13,03,Chargé / Chargée d'études agricoles,A1303
38762,A,13,03,Chargé / Chargée d'études du patrimoine naturel,A1303
11903,A,13,03,Chargé / Chargée d'études économiques en agriculture,A1303
38761,A,13,03,Chargé / Chargée d'études en biodiversité,A1303
11906,A,13,03,Chargé / Chargée d'études en développement agricole,A1303
11907,A,13,03,Chargé / Chargée d'études en développement rural,A1303
11910,A,13,03,Chargé / Chargée d'études environnement,A1303
14931,A,13,03,Expérimentateur / Expérimentatrice en agriculture,A1303
14934,A,13,03,Expert / Experte cynégétique,A1303
14936,A,13,03,Expert / Experte en aquaculture,A1303
14932,A,13,03,Expert agricole et foncier / Experte agricole et foncière ,A1303
14948,A,13,03,Expert forestier / Experte forestière,A1303
15575,A,13,03,Ingénieur / Ingénieure agro-environnement,A1303
15576,A,13,03,Ingénieur / Ingénieure agro-halieute,A1303
15577,A,13,03,Ingénieur / Ingénieure agronome,A1303
15583,A,13,03,Ingénieur / Ingénieure arboricole,A1303
15682,A,13,03,Ingénieur / Ingénieure des eaux et forêts,A1303
15685,A,13,03,Ingénieur / Ingénieure des techniques forestières,A1303
15686,A,13,03,Ingénieur / Ingénieure des travaux agricoles,A1303
15688,A,13,03,Ingénieur / Ingénieure des travaux des eaux et forêts,A1303
15692,A,13,03,Ingénieur / Ingénieure des travaux ruraux,A1303
15711,A,13,03,Ingénieur / Ingénieure d'études et de recherche agricoles,A1303
15723,A,13,03,Ingénieur / Ingénieure du génie rural,A1303
15724,A,13,03,Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-,A1303
15760,A,13,03,Ingénieur / Ingénieure en expérimentation animale,A1303
15761,A,13,03,Ingénieur / Ingénieure en expérimentation végétale,A1303
15788,A,13,03,Ingénieur / Ingénieure en techniques d'expérimentation animale,A1303
15814,A,13,03,Ingénieur / Ingénieure halieute,A1303
15815,A,13,03,Ingénieur / Ingénieure horticole,A1303
15852,A,13,03,Ingénieur / Ingénieure paysagiste,A1303
10806,A,14,01,Aide agricole en arboriculture,A1401
10810,A,14,01,Aide agricole en production fruitière,A1401
10814,A,14,01,Aide agricole en viticulture,A1401
10815,A,14,01,Aide arboricole,A1401
10862,A,14,01,Aide viticole,A1401
10864,A,14,01,Aide-arboriculteur / Aide-arboricultrice,A1401
10886,A,14,01,Aide-pépiniériste,A1401
10900,A,14,01,Aide-viticulteur / Aide-viticultrice,A1401
13853,A,14,01,Cueilleur / Cueilleuse de cerises,A1401
13855,A,14,01,Cueilleur / Cueilleuse de fruits,A1401
13856,A,14,01,Cueilleur / Cueilleuse de pêches,A1401
13857,A,14,01,Cueilleur / Cueilleuse de poires,A1401
13858,A,14,01,Cueilleur / Cueilleuse de pommes,A1401
17817,A,14,01,Planteur / Planteuse de bananes,A1401
17892,A,14,01,Porteur / Porteuse de hottes,A1401
20510,A,14,01,Vendangeur / Vendangeuse,A1401
10807,A,14,02,Aide agricole en maraîchage-horticulture,A1402
10808,A,14,02,Aide agricole en polyculture,A1402
10809,A,14,02,Aide agricole en production florale,A1402
10812,A,14,02,Aide agricole en production légumière,A1402
10813,A,14,02,Aide agricole en production végétale,A1402
10849,A,14,02,Aide horticole,A1402
10853,A,14,02,Aide maraîcher / maraîchère,A1402
11710,A,14,02,Castreur / Castreuse de maïs,A1402
13775,A,14,02,Coupeur / Coupeuse de canne à sucre,A1402
13854,A,14,02,Cueilleur / Cueilleuse de feuilles de tabac,A1402
17818,A,14,02,Planteur / Planteuse de café - thé,A1402
17819,A,14,02,Planteur / Planteuse de canne à sucre,A1402
17820,A,14,02,Planteur / Planteuse de tabac,A1402
18275,A,14,02,Ramasseur / Ramasseuse d'ail,A1402
18276,A,14,02,Ramasseur / Ramasseuse d'asperges,A1402
18277,A,14,02,Ramasseur / Ramasseuse de champignons,A1402
18278,A,14,02,Ramasseur / Ramasseuse de légumes,A1402
18279,A,14,02,Ramasseur / Ramasseuse de pommes de terre,A1402
18281,A,14,02,Ramasseur / Ramasseuse d'endives,A1402
10811,A,14,03,Aide agricole en production laitière,A1403
10825,A,14,03,Aide de conchyliculture,A1403
10829,A,14,03,Aide de pisciculture,A1403
10832,A,14,03,Aide d'élevage aquacole,A1403
10833,A,14,03,Aide d'élevage bovin,A1403
10834,A,14,03,Aide d'élevage caprin,A1403
10835,A,14,03,Aide d'élevage cunicole (lapins),A1403
10836,A,14,03,Aide d'élevage de chevaux,A1403
10837,A,14,03,Aide d'élevage en production de volaille,A1403
10838,A,14,03,Aide d'élevage en production laitière,A1403
10839,A,14,03,Aide d'élevage ostréicole,A1403
10840,A,14,03,Aide d'élevage ovin,A1403
10841,A,14,03,Aide d'élevage porcin,A1403
10898,A,14,03,Aide-vacher / Aide-vachère,A1403
17546,A,14,03,Palefrenier / Palefrenière,A1403
18280,A,14,03,Ramasseur / Ramasseuse de volaille,A1403
18282,A,14,03,Ramasseur / Ramasseuse d'oeufs,A1403
19431,A,14,03,Sexeur / Sexeuse de volailles,A1403
20364,A,14,03,Tondeur / Tondeuse de moutons,A1403
10922,A,14,04,Algoculteur / Algocultrice (algues),A1404
11099,A,14,04,Aquaculteur / Aquacultrice,A1404
11361,A,14,04,Astaciculteur / Astacicultrice (écrevisses),A1404
12511,A,14,04,Chef d'exploitation aquacole,A1404
12843,A,14,04,Conchyliculteur / Conchylicultrice (coquillages),A1404
13851,A,14,04,Crustaciculteur / Crustacicultrice (crustacés),A1404
14558,A,14,04,Echiniculteur / Echinicultrice (oursins),A1404
16944,A,14,04,Mytiliculteur / Mytilicultrice (moules),A1404
17375,A,14,04,Ostréiculteur / Ostréicultrice (huîtres),A1404
17402,A,14,04,Ouvrier / Ouvrière aquacole,A1404
17511,A,14,04,Ouvrier / Ouvrière mytilicole ,A1404
17513,A,14,04,Ouvrier / Ouvrière ostréicole ,A1404
17517,A,14,04,Ouvrier / Ouvrière piscicole ,A1404
17601,A,14,04,Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques),A1404
17801,A,14,04,Pisciculteur / Piscicultrice,A1404
19303,A,14,04,Salmoniculteur / Salmonicultrice (saumons),A1404
20467,A,14,04,Truiticulteur / Truiticultrice (truites),A1404
20649,A,14,04,Vénériculteur / Vénéricultrice (palourdes),A1404
11103,A,14,05,Arboriculteur / Arboricultrice,A1405
11104,A,14,05,Arboriculteur ornemental / Arboricultrice ornementale,A1405
12112,A,14,05,Chef de culture arboricole,A1405
12120,A,14,05,Chef de culture viticole,A1405
12374,A,14,05,Chef de station fruitière,A1405
38775,A,14,05,Chef d'équipe en production arboricole,A1405
12519,A,14,05,Chef d'exploitation en arboriculture,A1405
13577,A,14,05,Contremaître / Contremaîtresse en arboriculture,A1405
15172,A,14,05,Fruiticulteur / Fruiticultrice,A1405
16141,A,14,05,Kiwiculteur / Kiwicultrice,A1405
17044,A,14,05,Oléiculteur / Oléicultrice,A1405
17403,A,14,05,Ouvrier / Ouvrière arboricole,A1405
17490,A,14,05,Ouvrier / Ouvrière en arboriculture,A1405
17498,A,14,05,Ouvrier / Ouvrière en viticulture,A1405
17540,A,14,05,Ouvrier viticole / Ouvrière viticole ,A1405
17876,A,14,05,Pomiculteur / Pomicultrice,A1405
18082,A,14,05,Producteur / Productrice d'ananas,A1405
18083,A,14,05,Producteur / Productrice de bananes,A1405
18225,A,14,05,Pruniculteur / Prunicultrice,A1405
18415,A,14,05,Régisseur / Régisseuse d'exploitation viticole,A1405
18996,A,14,05,Responsable d'exploitation viticole,A1405
38078,A,14,05,Tailleur / Tailleuse de fruitiers,A1405
19624,A,14,05,Tailleur / Tailleuse de vigne,A1405
20689,A,14,05,Vigneron manipulant / Vigneronne manipulante ,A1405
20713,A,14,05,Viticulteur / Viticultrice,A1405
11668,A,14,06,Capitaine de pêche,A1406
12733,A,14,06,Commandant / Commandante de pêche,A1406
16187,A,14,06,Lieutenant / Lieutenante de pêche,A1406
17582,A,14,06,Patron / Patronne à la pêche,A1406
17583,A,14,06,Patron / Patronne de pêche,A1406
19355,A,14,06,Second / Seconde de pêche,A1406
10802,A,14,07,Agriculteur / Agricultrice de production laitière,A1407
10966,A,14,07,Anier / Anière,A1407
11583,A,14,07,Bouvier / Bouvière,A1407
12869,A,14,07,Conducteur / Conductrice d'atelier de production animale bovine ou équine,A1407
12872,A,14,07,Conducteur / Conductrice d'atelier de vaches allaitantes,A1407
14684,A,14,07,Eleveur / Eleveuse d'ânes,A1407
14688,A,14,07,Eleveur / Eleveuse de bisons,A1407
14689,A,14,07,Eleveur / Eleveuse de bovins,A1407
14694,A,14,07,Eleveur / Eleveuse de chevaux,A1407
14708,A,14,07,Eleveur / Eleveuse de poneys,A1407
14711,A,14,07,Eleveur / Eleveuse de poulains,A1407
14715,A,14,07,Eleveur / Eleveuse de taurillons,A1407
14716,A,14,07,Eleveur / Eleveuse de vaches laitières,A1407
14717,A,14,07,Eleveur / Eleveuse de vaches laitières et de bétail viande,A1407
14718,A,14,07,Eleveur / Eleveuse de veaux de boucherie,A1407
14724,A,14,07,Eleveur / Eleveuse en production bovine et/ou équine,A1407
14730,A,14,07,Eleveur-sélectionneur / Eleveuse-sélectionneuse en production bovine et/ou équine,A1407
14906,A,14,07,Etalonnier / Etalonnière,A1407
15211,A,14,07,Gardian,A1407
16330,A,14,07,Manadier / Manadière,A1407
17389,A,14,07,Ouvrier / Ouvrière agricole en production bovine,A1407
17394,A,14,07,Ouvrier / Ouvrière agricole en production équine,A1407
17395,A,14,07,Ouvrier / Ouvrière agricole en production laitière,A1407
17456,A,14,07,Ouvrier / Ouvrière de production bovine,A1407
17463,A,14,07,Ouvrier / Ouvrière d'élevage en production bovine,A1407
17464,A,14,07,Ouvrier / Ouvrière d'élevage en production bovine biologique,A1407
17468,A,14,07,Ouvrier / Ouvrière d'élevage en production équine,A1407
17471,A,14,07,Ouvrier / Ouvrière d'élevage laitier bovin,A1407
18085,A,14,07,Producteur / Productrice de lait bovin,A1407
18098,A,14,07,Producteur / Productrice de viande bovine,A1407
18099,A,14,07,Producteur / Productrice de viande équine,A1407
18890,A,14,07,Responsable de troupeau,A1407
18900,A,14,07,Responsable d'élevage bovin,A1407
18904,A,14,07,Responsable d'élevage équin,A1407
20498,A,14,07,Vacher / Vachère,A1407
10967,A,14,08,Animalier / Animalière de laboratoire,A1408
10968,A,14,08,Animalier / Animalière en parc zoologique,A1408
11079,A,14,08,Apiculteur / Apicultrice,A1408
13763,A,14,08,Coturniculteur / Coturnicultrice (cailles),A1408
13882,A,14,08,Cyniculteur / Cynicultrice (gibiers),A1408
14532,A,14,08,Dresseur / Dresseuse de chiens,A1408
38628,A,14,08,Educateur / Educatrice canin,A1408
14685,A,14,08,Eleveur / Eleveuse d'animaux à fourrure,A1408
14686,A,14,08,Eleveur / Eleveuse d'animaux de compagnie,A1408
14687,A,14,08,Eleveur / Eleveuse d'autruches,A1408
14692,A,14,08,Eleveur / Eleveuse de cervidés,A1408
14693,A,14,08,Eleveur / Eleveuse de chats,A1408
14698,A,14,08,Eleveur / Eleveuse de chiens,A1408
14699,A,14,08,Eleveur / Eleveuse de chiens guides,A1408
14700,A,14,08,Eleveur / Eleveuse de crocodiles,A1408
14701,A,14,08,Eleveur / Eleveuse de grands gibiers,A1408
14702,A,14,08,Eleveur / Eleveuse de lamas,A1408
14707,A,14,08,Eleveur / Eleveuse de petits gibiers,A1408
14712,A,14,08,Eleveur / Eleveuse de reptiles,A1408
14713,A,14,08,Eleveur / Eleveuse de reptiles aquatiques,A1408
14714,A,14,08,Eleveur / Eleveuse de rongeurs,A1408
14719,A,14,08,Eleveur / Eleveuse de visons,A1408
14721,A,14,08,Eleveur / Eleveuse d'escargots,A1408
14722,A,14,08,Eleveur / Eleveuse d'insectes,A1408
15062,A,14,08,Féliniculteur / Félinicultrice (félins),A1408
15189,A,14,08,Garçon / Fille de chenil,A1408
15467,A,14,08,Héliciculteur / Hélicicultrice (escargots),A1408
16215,A,14,08,Lombriculteur / Lombricultrice (lombrics),A1408
17416,A,14,08,Ouvrier / Ouvrière cynicole ,A1408
18287,A,14,08,Raniculteur / Ranicultrice (grenouilles),A1408
19412,A,14,08,Sériciculteur / Séricicultrice (vers à soie),A1408
20741,A,14,08,Zootechnicien / Zootechnicienne,A1408
10232,A,14,09,Accouveur / Accouveuse,A1409
11467,A,14,09,Aviculteur / Avicultrice,A1409
14703,A,14,09,Eleveur / Eleveuse de lapins,A1409
14704,A,14,09,Eleveur / Eleveuse de lapins angoras,A1409
14705,A,14,09,Eleveur / Eleveuse de lapins ou de volailles,A1409
14720,A,14,09,Eleveur / Eleveuse de volailles,A1409
14731,A,14,09,Eleveur-sélectionneur / Eleveuse-sélectionneuse en production de lapins,A1409
14732,A,14,09,Eleveur-sélectionneur / Eleveuse-sélectionneuse en production de volailles,A1409
14837,A,14,09,Engraisseur / Engraisseuse de lapins ou de volailles,A1409
15242,A,14,09,Gaveur / Gaveuse,A1409
16948,A,14,09,Naisseur / Naisseuse en production de lapins ou de volailles,A1409
17392,A,14,09,Ouvrier / Ouvrière agricole en production de lapins,A1409
17393,A,14,09,Ouvrier / Ouvrière agricole en production de volailles,A1409
17401,A,14,09,Ouvrier / Ouvrière agricole spécialisation aviculture,A1409
17405,A,14,09,Ouvrier / Ouvrière avicole,A1409
17415,A,14,09,Ouvrier / Ouvrière cunicole (lapins),A1409
17419,A,14,09,Ouvrier / Ouvrière d'accouvage,A1409
17466,A,14,09,Ouvrier / Ouvrière d'élevage en production de lapins,A1409
17467,A,14,09,Ouvrier / Ouvrière d'élevage en production de volailles,A1409
18810,A,14,09,Responsable de poulailler,A1409
18899,A,14,09,Responsable d'élevage avicole,A1409
18901,A,14,09,Responsable d'élevage cunicole (lapins),A1409
11499,A,14,10,Berger / Bergère,A1410
11500,A,14,10,Berger / Bergère de production laitière,A1410
11501,A,14,10,Berger / Bergère d'estives,A1410
11502,A,14,10,Berger fromager / Bergère fromagère,A1410
12618,A,14,10,Chevrier / Chevrière,A1410
12619,A,14,10,Chevrier fromager / Chevrière fromagère,A1410
14683,A,14,10,Eleveur / Eleveuse d'agneaux,A1410
14690,A,14,10,Eleveur / Eleveuse de brebis laitières,A1410
14691,A,14,10,Eleveur / Eleveuse de caprins,A1410
14696,A,14,10,Eleveur / Eleveuse de chèvres,A1410
14697,A,14,10,Eleveur / Eleveuse de chèvres angoras,A1410
14706,A,14,10,Eleveur / Eleveuse de moutons,A1410
14723,A,14,10,Eleveur / Eleveuse d'ovins,A1410
14725,A,14,10,Eleveur / Eleveuse en production ovine et caprine,A1410
14728,A,14,10,Eleveur laitier / Eleveuse laitière en production ovine et caprine,A1410
14729,A,14,10,Eleveur-sélectionneur / Eleveuse-sélectionneuse d'ovins et de caprins,A1410
16933,A,14,10,Moutonnier / Moutonnière,A1410
17391,A,14,10,Ouvrier / Ouvrière agricole en production caprine,A1410
17396,A,14,10,Ouvrier / Ouvrière agricole en production laitière d'ovins ou de caprins,A1410
17397,A,14,10,Ouvrier / Ouvrière agricole en production ovine,A1410
17457,A,14,10,Ouvrier / Ouvrière de production ovine,A1410
17465,A,14,10,Ouvrier / Ouvrière d'élevage en production caprine,A1410
17469,A,14,10,Ouvrier / Ouvrière d'élevage en production ovine,A1410
17472,A,14,10,Ouvrier / Ouvrière d'élevage laitier en production ovine ou caprine,A1410
18086,A,14,10,Producteur / Productrice de lait d'ovin et de caprin,A1410
18902,A,14,10,Responsable d'élevage en production caprine,A1410
18903,A,14,10,Responsable d'élevage en production ovine,A1410
12216,A,14,11,Chef de production agricole porcine,A1411
12384,A,14,11,Chef d'élevage porcin,A1411
12510,A,14,11,Chef d'exploitation agricole porcine,A1411
12871,A,14,11,Conducteur / Conductrice d'atelier de production animale porcine,A1411
14709,A,14,11,Eleveur / Eleveuse de porcins,A1411
14710,A,14,11,Eleveur / Eleveuse de porcs,A1411
14726,A,14,11,Eleveur / Eleveuse en production porcine,A1411
14733,A,14,11,Eleveur-sélectionneur / Eleveuse-sélectionneuse en production porcine,A1411
14838,A,14,11,Engraisseur / Engraisseuse de porcelets,A1411
16949,A,14,11,Naisseur-engraisseur / Naisseuse-engraisseuse porcin,A1411
17398,A,14,11,Ouvrier / Ouvrière agricole en production porcine,A1411
17458,A,14,11,Ouvrier / Ouvrière de production porcine,A1411
17470,A,14,11,Ouvrier / Ouvrière d'élevage en production porcine,A1411
17400,A,14,11,Ouvrier agricole polyvalent / Ouvrière agricole polyvalente en élevage porcin,A1411
17890,A,14,11,Porcher / Porchère,A1411
18104,A,14,11,Producteur / Productrice hors sol porcin,A1411
18414,A,14,11,Régisseur / Régisseuse d'exploitation agricole porcine,A1411
18422,A,14,11,Régisseur / Régisseuse en agriculture porcine,A1411
18425,A,14,11,Régisseur / Régisseuse polyculture élevage porcin,A1411
18905,A,14,11,Responsable d'élevage porcin,A1411
19358,A,14,11,Second / Seconde d'exploitation porcine,A1411
20260,A,14,11,Technicien spécialisé / Technicienne spécialisée en conduite d'élevage porcin,A1411
10329,A,14,12,Affineur / Affineuse de fromages,A1412
15028,A,14,12,Fabricant-affineur / Fabricante-affineuse de fromages,A1412
15170,A,14,12,Fromager / Fromagère,A1412
15171,A,14,12,Fromager-affineur / Fromagère-affineuse,A1412
38571,A,14,13,Aide caviste,A1413
11590,A,14,13,Brasseur / Brasseuse de bière,A1413
11592,A,14,13,Brasseur-malteur / Brasseuse-malteuse,A1413
11717,A,14,13,Caviste,A1413
12008,A,14,13,Chef caviste,A1413
12080,A,14,13,Chef de cave,A1413
12638,A,14,13,Cidrier / Cidrière,A1413
14761,A,14,13,Employé / Employée de chai,A1413
16299,A,14,13,Maître / Maîtresse de chai,A1413
17010,A,14,13,Oenologue,A1413
17011,A,14,13,Oenologue conseil,A1413
17012,A,14,13,Oenologue en recherche développement,A1413
17423,A,14,13,Ouvrier / Ouvrière de chai,A1413
17425,A,14,13,Ouvrier / Ouvrière de cidrerie,A1413
11166,A,14,14,Aspigiculteur / Aspigicultrice,A1414
11608,A,14,14,Bulbiculteur / Bulbicultrice,A1414
11731,A,14,14,Champignonniste,A1414
12114,A,14,14,Chef de culture champignonniste,A1414
