Code1|Code2|Libellé
20.59Z|2059Z|Fabrication d'autres produits chimiques n.c.a.
20.60Z|2060Z|Fabrication de fibres artificielles ou synthétiques
21.10Z|2110Z|Fabrication de produits pharmaceutiques de base
21.20Z|2120Z|Fabrication de préparations pharmaceutiques
22.11Z|2211Z|Fabrication et rechapage de pneumatiques
22.19Z|2219Z|Fabrication d'autres articles en caoutchouc
22.21Z|2221Z|Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.22Z|2222Z|Fabrication d'emballages en matières plastiques
22.23Z|2223Z|Fabrication d'éléments en matières plastiques pour la construction
22.29A|2229A|Fabrication de pièces techniques à base de matières plastiques
22.29B|2229B|Fabrication de produits de consommation courante en matières plastiques
23.11Z|2311Z|Fabrication de verre plat
23.12Z|2312Z|Façonnage et transformation du verre plat
23.13Z|2313Z|Fabrication de verre creux
23.14Z|2314Z|Fabrication de fibres de verre
23.19Z|2319Z|Fabrication et façonnage d'autres articles en verre, y compris verre technique
23.20Z|2320Z|Fabrication de produits réfractaires
23.31Z|2331Z|Fabrication de carreaux en céramique
23.32Z|2332Z|Fabrication de briques, tuiles et produits de construction, en terre cuite
23.41Z|2341Z|Fabrication d'articles céramiques à usage domestique ou ornemental
23.42Z|2342Z|Fabrication d'appareils sanitaires en céramique
23.43Z|2343Z|Fabrication d'isolateurs et pièces isolantes en céramique
23.44Z|2344Z|Fabrication d'autres produits céramiques à usage technique
23.49Z|2349Z|Fabrication d'autres produits céramiques
23.51Z|2351Z|Fabrication de ciment
23.52Z|2352Z|Fabrication de chaux et plâtre
23.61Z|2361Z|Fabrication d'éléments en béton pour la construction
23.62Z|2362Z|Fabrication d'éléments en plâtre pour la construction
23.63Z|2363Z|Fabrication de béton prêt à l'emploi
23.64Z|2364Z|Fabrication de mortiers et bétons secs
23.65Z|2365Z|Fabrication d'ouvrages en fibre-ciment
23.69Z|2369Z|Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
23.70Z|2370Z|Taille, façonnage et finissage de pierres
23.91Z|2391Z|Fabrication de produits abrasifs
23.99Z|2399Z|Fabrication d'autres produits minéraux non métalliques n.c.a.
24.10Z|2410Z|Sidérurgie
24.20Z|2420Z|Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.31Z|2431Z|Étirage à froid de barres
24.32Z|2432Z|Laminage à froid de feuillards
24.33Z|2433Z|Profilage à froid par formage ou pliage
24.34Z|2434Z|Tréfilage à froid
24.41Z|2441Z|Production de métaux précieux
24.42Z|2442Z|Métallurgie de l'aluminium
24.43Z|2443Z|Métallurgie du plomb, du zinc ou de l'étain
24.44Z|2444Z|Métallurgie du cuivre
24.45Z|2445Z|Métallurgie des autres métaux non ferreux
24.46Z|2446Z|Élaboration et transformation de matières nucléaires
24.51Z|2451Z|Fonderie de fonte
24.52Z|2452Z|Fonderie d'acier
24.53Z|2453Z|Fonderie de métaux légers
24.54Z|2454Z|Fonderie d'autres métaux non ferreux
25.11Z|2511Z|Fabrication de structures métalliques et de parties de structures
25.12Z|2512Z|Fabrication de portes et fenêtres en métal
25.21Z|2521Z|Fabrication de radiateurs et de chaudières pour le chauffage central
25.29Z|2529Z|Fabrication d'autres réservoirs, citernes et conteneurs métalliques
25.30Z|2530Z|Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
25.40Z|2540Z|Fabrication d'armes et de munitions
25.50A|2550A|Forge, estampage, matriçage ; métallurgie des poudres
25.50B|2550B|Découpage, emboutissage
25.61Z|2561Z|Traitement et revêtement des métaux
25.62A|2562A|Décolletage
25.62B|2562B|Mécanique industrielle
25.71Z|2571Z|Fabrication de coutellerie
25.72Z|2572Z|Fabrication de serrures et de ferrures
25.73A|2573A|Fabrication de moules et modèles
25.73B|2573B|Fabrication d'autres outillages
25.91Z|2591Z|Fabrication de fûts et emballages métalliques similaires
25.92Z|2592Z|Fabrication d'emballages métalliques légers
25.93Z|2593Z|Fabrication d'articles en fils métalliques, de chaînes et de ressorts
25.94Z|2594Z|Fabrication de vis et de boulons
25.99A|2599A|Fabrication d'articles métalliques ménagers
25.99B|2599B|Fabrication d'autres articles métalliques
26.11Z|2611Z|Fabrication de composants électroniques
26.12Z|2612Z|Fabrication de cartes électroniques assemblées
26.20Z|2620Z|Fabrication d'ordinateurs et d'équipements périphériques
26.30Z|2630Z|Fabrication d'équipements de communication
26.40Z|2640Z|Fabrication de produits électroniques grand public
26.51A|2651A|Fabrication d'équipements d'aide à la navigation
26.51B|2651B|Fabrication d'instrumentation scientifique et technique
26.52Z|2652Z|Horlogerie
26.60Z|2660Z|Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
26.70Z|2670Z|Fabrication de matériels optique et photographique
26.80Z|2680Z|Fabrication de supports magnétiques et optiques
27.11Z|2711Z|Fabrication de moteurs, génératrices et transformateurs électriques
27.12Z|2712Z|Fabrication de matériel de distribution et de commande électrique
27.20Z|2720Z|Fabrication de piles et d'accumulateurs électriques
27.31Z|2731Z|Fabrication de câbles de fibres optiques
27.32Z|2732Z|Fabrication d'autres fils et câbles électroniques ou électriques
27.33Z|2733Z|Fabrication de matériel d'installation électrique
27.40Z|2740Z|Fabrication d'appareils d'éclairage électrique
27.51Z|2751Z|Fabrication d'appareils électroménagers
27.52Z|2752Z|Fabrication d'appareils ménagers non électriques
27.90Z|2790Z|Fabrication d'autres matériels électriques
28.11Z|2811Z|Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules
28.12Z|2812Z|Fabrication d'équipements hydrauliques et pneumatiques
28.13Z|2813Z|Fabrication d'autres pompes et compresseurs
28.14Z|2814Z|Fabrication d'autres articles de robinetterie
28.15Z|2815Z|Fabrication d'engrenages et d'organes mécaniques de transmission
28.21Z|2821Z|Fabrication de fours et brûleurs
28.22Z|2822Z|Fabrication de matériel de levage et de manutention
28.23Z|2823Z|Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
28.24Z|2824Z|Fabrication d'outillage portatif à moteur incorporé
28.25Z|2825Z|Fabrication d'équipements aérauliques et frigorifiques industriels
28.29A|2829A|Fabrication d'équipements d'emballage, de conditionnement et de pesage
28.29B|2829B|Fabrication d'autres machines d'usage général
28.30Z|2830Z|Fabrication de machines agricoles et forestières
28.41Z|2841Z|Fabrication de machines-outils pour le travail des métaux
28.49Z|2849Z|Fabrication d'autres machines-outils
28.91Z|2891Z|Fabrication de machines pour la métallurgie
28.92Z|2892Z|Fabrication de machines pour l'extraction ou la construction
28.93Z|2893Z|Fabrication de machines pour l'industrie agro-alimentaire
28.94Z|2894Z|Fabrication de machines pour les industries textiles
28.95Z|2895Z|Fabrication de machines pour les industries du papier et du carton
28.96Z|2896Z|Fabrication de machines pour le travail du caoutchouc ou des plastiques
28.99A|2899A|Fabrication de machines d'imprimerie
28.99B|2899B|Fabrication d'autres machines spécialisées
29.10Z|2910Z|Construction de véhicules automobiles
29.20Z|2920Z|Fabrication de carrosseries et remorques
29.31Z|2931Z|Fabrication d'équipements électriques et électroniques automobiles
29.32Z|2932Z|Fabrication d'autres équipements automobiles
30.11Z|3011Z|Construction de navires et de structures flottantes
30.12Z|3012Z|Construction de bateaux de plaisance
30.20Z|3020Z|Construction de locomotives et d'autre matériel ferroviaire roulant
30.30Z|3030Z|Construction aéronautique et spatiale
30.40Z|3040Z|Construction de véhicules militaires de combat
30.91Z|3091Z|Fabrication de motocycles
30.92Z|3092Z|Fabrication de bicyclettes et de véhicules pour invalides
30.99Z|3099Z|Fabrication d'autres équipements de transport n.c.a.
31.01Z|3101Z|Fabrication de meubles de bureau et de magasin
31.02Z|3102Z|Fabrication de meubles de cuisine
31.03Z|3103Z|Fabrication de matelas
31.09A|3109A|Fabrication de sièges d'ameublement d'intérieur
31.09B|3109B|Fabrication d'autres meubles et industries connexes de l'ameublement
32.11Z|3211Z|Frappe de monnaie
32.12Z|3212Z|Fabrication d'articles de joaillerie et bijouterie
32.13Z|3213Z|Fabrication d'articles de bijouterie fantaisie et articles similaires
32.20Z|3220Z|Fabrication d'instruments de musique
32.30Z|3230Z|Fabrication d'articles de sport
32.40Z|3240Z|Fabrication de jeux et jouets
32.50A|3250A|Fabrication de matériel médico-chirurgical et dentaire
32.50B|3250B|Fabrication de lunettes
32.91Z|3291Z|Fabrication d'articles de brosserie
32.99Z|3299Z|Autres activités manufacturières n.c.a.
33.11Z|3311Z|Réparation d'ouvrages en métaux
33.12Z|3312Z|Réparation de machines et équipements mécaniques
33.13Z|3313Z|Réparation de matériels électroniques et optiques
33.14Z|3314Z|Réparation d'équipements électriques
33.15Z|3315Z|Réparation et maintenance navale
33.16Z|3316Z|Réparation et maintenance d'aéronefs et d'engins spatiaux
33.17Z|3317Z|Réparation et maintenance d'autres équipements de transport
33.19Z|3319Z|Réparation d'autres équipements
33.20A|3320A|Installation de structures métalliques, chaudronnées et de tuyauterie
33.20B|3320B|Installation de machines et équipements mécaniques
33.20C|3320C|Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
33.20D|3320D|Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels
35.11Z|3511Z|Production d'électricité
35.12Z|3512Z|Transport d'électricité
35.13Z|3513Z|Distribution d'électricité
35.14Z|3514Z|Commerce d'électricité
35.21Z|3521Z|Production de combustibles gazeux
35.22Z|3522Z|Distribution de combustibles gazeux par conduites
35.23Z|3523Z|Commerce de combustibles gazeux par conduites
35.30Z|3530Z|Production et distribution de vapeur et d'air conditionné
36.00Z|3600Z|Captage, traitement et distribution d'eau
37.00Z|3700Z|Collecte et traitement des eaux usées
38.11Z|3811Z|Collecte des déchets non dangereux
38.12Z|3812Z|Collecte des déchets dangereux
38.21Z|3821Z|Traitement et élimination des déchets non dangereux
38.22Z|3822Z|Traitement et élimination des déchets dangereux
38.31Z|3831Z|Démantèlement d'épaves
38.32Z|3832Z|Récupération de déchets triés
39.00Z|3900Z|Dépollution et autres services de gestion des déchets
41.10A|4110A|Promotion immobilière de logements
41.10B|4110B|Promotion immobilière de bureaux
41.10C|4110C|Promotion immobilière d'autres bâtiments
41.10D|4110D|Supports juridiques de programmes
41.20A|4120A|Construction de maisons individuelles
41.20B|4120B|Construction d'autres bâtiments
42.11Z|4211Z|Construction de routes et autoroutes
42.12Z|4212Z|Construction de voies ferrées de surface et souterraines
42.13A|4213A|Construction d'ouvrages d'art
42.13B|4213B|Construction et entretien de tunnels
42.21Z|4221Z|Construction de réseaux pour fluides
42.22Z|4222Z|Construction de réseaux électriques et de télécommunications
42.91Z|4291Z|Construction d'ouvrages maritimes et fluviaux
42.99Z|4299Z|Construction d'autres ouvrages de génie civil n.c.a.
43.11Z|4311Z|Travaux de démolition
43.12A|4312A|Travaux de terrassement courants et travaux préparatoires
43.12B|4312B|Travaux de terrassement spécialisés ou de grande masse
43.13Z|4313Z|Forages et sondages
43.21A|4321A|Travaux d'installation électrique dans tous locaux
43.21B|4321B|Travaux d'installation électrique sur la voie publique
43.22A|4322A|Travaux d'installation d'eau et de gaz en tous locaux
43.22B|4322B|Travaux d'installation d'équipements thermiques et de climatisation
43.29A|4329A|Travaux d'isolation
43.29B|4329B|Autres travaux d'installation n.c.a.
43.31Z|4331Z|Travaux de plâtrerie
43.32A|4332A|Travaux de menuiserie bois et PVC
43.32B|4332B|Travaux de menuiserie métallique et serrurerie
43.32C|4332C|Agencement de lieux de vente
43.33Z|4333Z|Travaux de revêtement des sols et des murs
43.34Z|4334Z|Travaux de peinture et vitrerie
43.39Z|4339Z|Autres travaux de finition
43.91A|4391A|Travaux de charpente
43.91B|4391B|Travaux de couverture par éléments
43.99A|4399A|Travaux d'étanchéification
43.99B|4399B|Travaux de montage de structures métalliques
43.99C|4399C|Travaux de maçonnerie générale et gros œuvre de bâtiment
43.99D|4399D|Autres travaux spécialisés de construction
43.99E|4399E|Location avec opérateur de matériel de construction
45.11Z|4511Z|Commerce de voitures et de véhicules automobiles légers
45.19Z|4519Z|Commerce d'autres véhicules automobiles
45.20A|4520A|Entretien et réparation de véhicules automobiles légers
45.20B|4520B|Entretien et réparation d'autres véhicules automobiles
45.31Z|4531Z|Commerce de gros d'équipements automobiles
45.32Z|4532Z|Commerce de détail d'équipements automobiles
45.40Z|4540Z|Commerce et réparation de motocycles
46.11Z|4611Z|Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis
46.12A|4612A|Centrales d'achat de carburant
46.12B|4612B|Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques
46.13Z|4613Z|Intermédiaires du commerce en bois et matériaux de construction
46.14Z|4614Z|Intermédiaires du commerce en machines, équipements industriels, navires et avions
46.15Z|4615Z|Intermédiaires du commerce en meubles, articles de ménage et quincaillerie
46.16Z|4616Z|Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir
46.17A|4617A|Centrales d'achat alimentaires
46.17B|4617B|Autres intermédiaires du commerce en denrées, boissons et tabac
46.18Z|4618Z|Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
46.19A|4619A|Centrales d'achat non alimentaires
46.19B|4619B|Autres intermédiaires du commerce en produits divers
46.21Z|4621Z|Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail
46.22Z|4622Z|Commerce de gros (commerce interentreprises) de fleurs et plantes
46.23Z|4623Z|Commerce de gros (commerce interentreprises) d'animaux vivants
46.24Z|4624Z|Commerce de gros (commerce interentreprises) de cuirs et peaux
46.31Z|4631Z|Commerce de gros (commerce interentreprises) de fruits et légumes
46.32A|4632A|Commerce de gros (commerce interentreprises) de viandes de boucherie
46.32B|4632B|Commerce de gros (commerce interentreprises) de produits à base de viande
46.32C|4632C|Commerce de gros (commerce interentreprises) de volailles et gibier
46.33Z|4633Z|Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles
46.34Z|4634Z|Commerce de gros (commerce interentreprises) de boissons
46.35Z|4635Z|Commerce de gros (commerce interentreprises) de produits à base de tabac
46.36Z|4636Z|Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie
46.37Z|4637Z|Commerce de gros (commerce interentreprises) de café, thé, cacao et épices
46.38A|4638A|Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques
46.38B|4638B|Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
46.39A|4639A|Commerce de gros (commerce interentreprises) de produits surgelés
46.39B|4639B|Commerce de gros (commerce interentreprises) alimentaire non spécialisé
46.41Z|4641Z|Commerce de gros (commerce interentreprises) de textiles
46.42Z|4642Z|Commerce de gros (commerce interentreprises) d'habillement et de chaussures
46.43Z|4643Z|Commerce de gros (commerce interentreprises) d'appareils électroménagers
46.44Z|4644Z|Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien
46.45Z|4645Z|Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
46.46Z|4646Z|Commerce de gros (commerce interentreprises) de produits pharmaceutiques
46.47Z|4647Z|Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage
46.48Z|4648Z|Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
46.49Z|4649Z|Commerce de gros (commerce interentreprises) d'autres biens domestiques
46.51Z|4651Z|Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels
46.52Z|4652Z|Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
46.61Z|4661Z|Commerce de gros (commerce interentreprises) de matériel agricole
46.62Z|4662Z|Commerce de gros (commerce interentreprises) de machines-outils
46.63Z|4663Z|Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil
46.64Z|4664Z|Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
46.65Z|4665Z|Commerce de gros (commerce interentreprises) de mobilier de bureau
46.66Z|4666Z|Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
46.69A|4669A|Commerce de gros (commerce interentreprises) de matériel électrique
46.69B|4669B|Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
46.69C|4669C|Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
46.71Z|4671Z|Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
46.72Z|4672Z|Commerce de gros (commerce interentreprises) de minerais et métaux
46.73A|4673A|Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
46.73B|4673B|Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
46.74A|4674A|Commerce de gros (commerce interentreprises) de quincaillerie
46.74B|4674B|Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
46.75Z|4675Z|Commerce de gros (commerce interentreprises) de produits chimiques
46.76Z|4676Z|Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
46.77Z|4677Z|Commerce de gros (commerce interentreprises) de déchets et débris
46.90Z|4690Z|Commerce de gros (commerce interentreprises) non spécialisé
47.11A|4711A|Commerce de détail de produits surgelés
47.11B|4711B|Commerce d'alimentation générale
47.11C|4711C|Supérettes
47.11D|4711D|Supermarchés
47.11E|4711E|Magasins multi-commerces
47.11F|4711F|Hypermarchés
47.19A|4719A|Grands magasins
47.19B|4719B|Autres commerces de détail en magasin non spécialisé
47.21Z|4721Z|Commerce de détail de fruits et légumes en magasin spécialisé
47.22Z|4722Z|Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
47.23Z|4723Z|Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé
47.24Z|4724Z|Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé
47.25Z|4725Z|Commerce de détail de boissons en magasin spécialisé
47.26Z|4726Z|Commerce de détail de produits à base de tabac en magasin spécialisé
47.29Z|4729Z|Autres commerces de détail alimentaires en magasin spécialisé
47.30Z|4730Z|Commerce de détail de carburants en magasin spécialisé
47.41Z|4741Z|Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé
47.42Z|4742Z|Commerce de détail de matériels de télécommunication en magasin spécialisé
47.43Z|4743Z|Commerce de détail de matériels audio et vidéo en magasin spécialisé
47.51Z|4751Z|Commerce de détail de textiles en magasin spécialisé
47.52A|4752A|Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)
47.52B|4752B|Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)
47.53Z|4753Z|Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé
47.54Z|4754Z|Commerce de détail d'appareils électroménagers en magasin spécialisé
47.59A|4759A|Commerce de détail de meubles
47.59B|4759B|Commerce de détail d'autres équipements du foyer
47.61Z|4761Z|Commerce de détail de livres en magasin spécialisé
47.62Z|4762Z|Commerce de détail de journaux et papeterie en magasin spécialisé
47.63Z|4763Z|Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
47.64Z|4764Z|Commerce de détail d'articles de sport en magasin spécialisé
47.65Z|4765Z|Commerce de détail de jeux et jouets en magasin spécialisé
47.71Z|4771Z|Commerce de détail d'habillement en magasin spécialisé
47.72A|4772A|Commerce de détail de la chaussure
47.72B|4772B|Commerce de détail de maroquinerie et d'articles de voyage
47.73Z|4773Z|Commerce de détail de produits pharmaceutiques en magasin spécialisé
47.74Z|4774Z|Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
47.75Z|4775Z|Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
