NAF|NAF_alternatif|label
2059Z|20.59Z|Fabrication d'autres produits chimiques n.c.a.
2060Z|20.60Z|Fabrication de fibres artificielles ou synthétiques
2110Z|21.10Z|Fabrication de produits pharmaceutiques de base
2120Z|21.20Z|Fabrication de préparations pharmaceutiques
2211Z|22.11Z|Fabrication et rechapage de pneumatiques
2219Z|22.19Z|Fabrication d'autres articles en caoutchouc
2221Z|22.21Z|Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
2222Z|22.22Z|Fabrication d'emballages en matières plastiques
2223Z|22.23Z|Fabrication d'éléments en matières plastiques pour la construction
2229A|22.29A|Fabrication de pièces techniques à base de matières plastiques
2229B|22.29B|Fabrication de produits de consommation courante en matières plastiques
2311Z|23.11Z|Fabrication de verre plat
2312Z|23.12Z|Façonnage et transformation du verre plat
2313Z|23.13Z|Fabrication de verre creux
2314Z|23.14Z|Fabrication de fibres de verre
2319Z|23.19Z|Fabrication et façonnage d'autres articles en verre, y compris verre technique
2320Z|23.20Z|Fabrication de produits réfractaires
2331Z|23.31Z|Fabrication de carreaux en céramique
2332Z|23.32Z|Fabrication de briques, tuiles et produits de construction, en terre cuite
2341Z|23.41Z|Fabrication d'articles céramiques à usage domestique ou ornemental
2342Z|23.42Z|Fabrication d'appareils sanitaires en céramique
2343Z|23.43Z|Fabrication d'isolateurs et pièces isolantes en céramique
2344Z|23.44Z|Fabrication d'autres produits céramiques à usage technique
2349Z|23.49Z|Fabrication d'autres produits céramiques
2351Z|23.51Z|Fabrication de ciment
2352Z|23.52Z|Fabrication de chaux et plâtre
2361Z|23.61Z|Fabrication d'éléments en béton pour la construction
2362Z|23.62Z|Fabrication d'éléments en plâtre pour la construction
2363Z|23.63Z|Fabrication de béton prêt à l'emploi
2364Z|23.64Z|Fabrication de mortiers et bétons secs
2365Z|23.65Z|Fabrication d'ouvrages en fibre-ciment
2369Z|23.69Z|Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
2370Z|23.70Z|Taille, façonnage et finissage de pierres
2391Z|23.91Z|Fabrication de produits abrasifs
2399Z|23.99Z|Fabrication d'autres produits minéraux non métalliques n.c.a.
2410Z|24.10Z|Sidérurgie
2420Z|24.20Z|Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
2431Z|24.31Z|Étirage à froid de barres
2432Z|24.32Z|Laminage à froid de feuillards
2433Z|24.33Z|Profilage à froid par formage ou pliage
2434Z|24.34Z|Tréfilage à froid
2441Z|24.41Z|Production de métaux précieux
2442Z|24.42Z|Métallurgie de l'aluminium
2443Z|24.43Z|Métallurgie du plomb, du zinc ou de l'étain
2444Z|24.44Z|Métallurgie du cuivre
2445Z|24.45Z|Métallurgie des autres métaux non ferreux
2446Z|24.46Z|Élaboration et transformation de matières nucléaires
2451Z|24.51Z|Fonderie de fonte
2452Z|24.52Z|Fonderie d'acier
2453Z|24.53Z|Fonderie de métaux légers
2454Z|24.54Z|Fonderie d'autres métaux non ferreux
2511Z|25.11Z|Fabrication de structures métalliques et de parties de structures
2512Z|25.12Z|Fabrication de portes et fenêtres en métal
2521Z|25.21Z|Fabrication de radiateurs et de chaudières pour le chauffage central
2529Z|25.29Z|Fabrication d'autres réservoirs, citernes et conteneurs métalliques
2530Z|25.30Z|Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
2540Z|25.40Z|Fabrication d'armes et de munitions
2550A|25.50A|Forge, estampage, matriçage ; métallurgie des poudres
2550B|25.50B|Découpage, emboutissage
2561Z|25.61Z|Traitement et revêtement des métaux
2562A|25.62A|Décolletage
2562B|25.62B|Mécanique industrielle
2571Z|25.71Z|Fabrication de coutellerie
2572Z|25.72Z|Fabrication de serrures et de ferrures
2573A|25.73A|Fabrication de moules et modèles
2573B|25.73B|Fabrication d'autres outillages
2591Z|25.91Z|Fabrication de fûts et emballages métalliques similaires
2592Z|25.92Z|Fabrication d'emballages métalliques légers
2593Z|25.93Z|Fabrication d'articles en fils métalliques, de chaînes et de ressorts
2594Z|25.94Z|Fabrication de vis et de boulons
2599A|25.99A|Fabrication d'articles métalliques ménagers
2599B|25.99B|Fabrication d'autres articles métalliques
2611Z|26.11Z|Fabrication de composants électroniques
2612Z|26.12Z|Fabrication de cartes électroniques assemblées
2620Z|26.20Z|Fabrication d'ordinateurs et d'équipements périphériques
2630Z|26.30Z|Fabrication d'équipements de communication
2640Z|26.40Z|Fabrication de produits électroniques grand public
2651A|26.51A|Fabrication d'équipements d'aide à la navigation
2651B|26.51B|Fabrication d'instrumentation scientifique et technique
2652Z|26.52Z|Horlogerie
2660Z|26.60Z|Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
2670Z|26.70Z|Fabrication de matériels optique et photographique
2680Z|26.80Z|Fabrication de supports magnétiques et optiques
2711Z|27.11Z|Fabrication de moteurs, génératrices et transformateurs électriques
2712Z|27.12Z|Fabrication de matériel de distribution et de commande électrique
2720Z|27.20Z|Fabrication de piles et d'accumulateurs électriques
2731Z|27.31Z|Fabrication de câbles de fibres optiques
2732Z|27.32Z|Fabrication d'autres fils et câbles électroniques ou électriques
2733Z|27.33Z|Fabrication de matériel d'installation électrique
2740Z|27.40Z|Fabrication d'appareils d'éclairage électrique
2751Z|27.51Z|Fabrication d'appareils électroménagers
2752Z|27.52Z|Fabrication d'appareils ménagers non électriques
2790Z|27.90Z|Fabrication d'autres matériels électriques
2811Z|28.11Z|Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules
2812Z|28.12Z|Fabrication d'équipements hydrauliques et pneumatiques
2813Z|28.13Z|Fabrication d'autres pompes et compresseurs
2814Z|28.14Z|Fabrication d'autres articles de robinetterie
2815Z|28.15Z|Fabrication d'engrenages et d'organes mécaniques de transmission
2821Z|28.21Z|Fabrication de fours et brûleurs
2822Z|28.22Z|Fabrication de matériel de levage et de manutention
2823Z|28.23Z|Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
2824Z|28.24Z|Fabrication d'outillage portatif à moteur incorporé
2825Z|28.25Z|Fabrication d'équipements aérauliques et frigorifiques industriels
2829A|28.29A|Fabrication d'équipements d'emballage, de conditionnement et de pesage
2829B|28.29B|Fabrication d'autres machines d'usage général
2830Z|28.30Z|Fabrication de machines agricoles et forestières
2841Z|28.41Z|Fabrication de machines-outils pour le travail des métaux
2849Z|28.49Z|Fabrication d'autres machines-outils
2891Z|28.91Z|Fabrication de machines pour la métallurgie
2892Z|28.92Z|Fabrication de machines pour l'extraction ou la construction
2893Z|28.93Z|Fabrication de machines pour l'industrie agro-alimentaire
2894Z|28.94Z|Fabrication de machines pour les industries textiles
2895Z|28.95Z|Fabrication de machines pour les industries du papier et du carton
2896Z|28.96Z|Fabrication de machines pour le travail du caoutchouc ou des plastiques
2899A|28.99A|Fabrication de machines d'imprimerie
2899B|28.99B|Fabrication d'autres machines spécialisées
2910Z|29.10Z|Construction de véhicules automobiles
2920Z|29.20Z|Fabrication de carrosseries et remorques
2931Z|29.31Z|Fabrication d'équipements électriques et électroniques automobiles
2932Z|29.32Z|Fabrication d'autres équipements automobiles
3011Z|30.11Z|Construction de navires et de structures flottantes
3012Z|30.12Z|Construction de bateaux de plaisance
3020Z|30.20Z|Construction de locomotives et d'autre matériel ferroviaire roulant
3030Z|30.30Z|Construction aéronautique et spatiale
3040Z|30.40Z|Construction de véhicules militaires de combat
3091Z|30.91Z|Fabrication de motocycles
3092Z|30.92Z|Fabrication de bicyclettes et de véhicules pour invalides
3099Z|30.99Z|Fabrication d'autres équipements de transport n.c.a.
3101Z|31.01Z|Fabrication de meubles de bureau et de magasin
3102Z|31.02Z|Fabrication de meubles de cuisine
3103Z|31.03Z|Fabrication de matelas
3109A|31.09A|Fabrication de sièges d'ameublement d'intérieur
3109B|31.09B|Fabrication d'autres meubles et industries connexes de l'ameublement
3211Z|32.11Z|Frappe de monnaie
3212Z|32.12Z|Fabrication d'articles de joaillerie et bijouterie
3213Z|32.13Z|Fabrication d'articles de bijouterie fantaisie et articles similaires
3220Z|32.20Z|Fabrication d'instruments de musique
3230Z|32.30Z|Fabrication d'articles de sport
3240Z|32.40Z|Fabrication de jeux et jouets
3250A|32.50A|Fabrication de matériel médico-chirurgical et dentaire
3250B|32.50B|Fabrication de lunettes
3291Z|32.91Z|Fabrication d'articles de brosserie
3299Z|32.99Z|Autres activités manufacturières n.c.a.
3311Z|33.11Z|Réparation d'ouvrages en métaux
3312Z|33.12Z|Réparation de machines et équipements mécaniques
3313Z|33.13Z|Réparation de matériels électroniques et optiques
3314Z|33.14Z|Réparation d'équipements électriques
3315Z|33.15Z|Réparation et maintenance navale
3316Z|33.16Z|Réparation et maintenance d'aéronefs et d'engins spatiaux
3317Z|33.17Z|Réparation et maintenance d'autres équipements de transport
3319Z|33.19Z|Réparation d'autres équipements
3320A|33.20A|Installation de structures métalliques, chaudronnées et de tuyauterie
3320B|33.20B|Installation de machines et équipements mécaniques
3320C|33.20C|Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
3320D|33.20D|Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels
3511Z|35.11Z|Production d'électricité
3512Z|35.12Z|Transport d'électricité
3513Z|35.13Z|Distribution d'électricité
3514Z|35.14Z|Commerce d'électricité
3521Z|35.21Z|Production de combustibles gazeux
3522Z|35.22Z|Distribution de combustibles gazeux par conduites
3523Z|35.23Z|Commerce de combustibles gazeux par conduites
3530Z|35.30Z|Production et distribution de vapeur et d'air conditionné
3600Z|36.00Z|Captage, traitement et distribution d'eau
3700Z|37.00Z|Collecte et traitement des eaux usées
3811Z|38.11Z|Collecte des déchets non dangereux
3812Z|38.12Z|Collecte des déchets dangereux
3821Z|38.21Z|Traitement et élimination des déchets non dangereux
3822Z|38.22Z|Traitement et élimination des déchets dangereux
3831Z|38.31Z|Démantèlement d'épaves
3832Z|38.32Z|Récupération de déchets triés
3900Z|39.00Z|Dépollution et autres services de gestion des déchets
4110A|41.10A|Promotion immobilière de logements
4110B|41.10B|Promotion immobilière de bureaux
4110C|41.10C|Promotion immobilière d'autres bâtiments
4110D|41.10D|Supports juridiques de programmes
4120A|41.20A|Construction de maisons individuelles
4120B|41.20B|Construction d'autres bâtiments
4211Z|42.11Z|Construction de routes et autoroutes
4212Z|42.12Z|Construction de voies ferrées de surface et souterraines
4213A|42.13A|Construction d'ouvrages d'art
4213B|42.13B|Construction et entretien de tunnels
4221Z|42.21Z|Construction de réseaux pour fluides
4222Z|42.22Z|Construction de réseaux électriques et de télécommunications
4291Z|42.91Z|Construction d'ouvrages maritimes et fluviaux
4299Z|42.99Z|Construction d'autres ouvrages de génie civil n.c.a.
4311Z|43.11Z|Travaux de démolition
4312A|43.12A|Travaux de terrassement courants et travaux préparatoires
4312B|43.12B|Travaux de terrassement spécialisés ou de grande masse
4313Z|43.13Z|Forages et sondages
4321A|43.21A|Travaux d'installation électrique dans tous locaux
4321B|43.21B|Travaux d'installation électrique sur la voie publique
4322A|43.22A|Travaux d'installation d'eau et de gaz en tous locaux
4322B|43.22B|Travaux d'installation d'équipements thermiques et de climatisation
4329A|43.29A|Travaux d'isolation
4329B|43.29B|Autres travaux d'installation n.c.a.
4331Z|43.31Z|Travaux de plâtrerie
4332A|43.32A|Travaux de menuiserie bois et PVC
4332B|43.32B|Travaux de menuiserie métallique et serrurerie
4332C|43.32C|Agencement de lieux de vente
4333Z|43.33Z|Travaux de revêtement des sols et des murs
4334Z|43.34Z|Travaux de peinture et vitrerie
4339Z|43.39Z|Autres travaux de finition
4391A|43.91A|Travaux de charpente
4391B|43.91B|Travaux de couverture par éléments
4399A|43.99A|Travaux d'étanchéification
4399B|43.99B|Travaux de montage de structures métalliques
4399C|43.99C|Travaux de maçonnerie générale et gros œuvre de bâtiment
4399D|43.99D|Autres travaux spécialisés de construction
4399E|43.99E|Location avec opérateur de matériel de construction
4511Z|45.11Z|Commerce de voitures et de véhicules automobiles légers
4519Z|45.19Z|Commerce d'autres véhicules automobiles
4520A|45.20A|Entretien et réparation de véhicules automobiles légers
4520B|45.20B|Entretien et réparation d'autres véhicules automobiles
4531Z|45.31Z|Commerce de gros d'équipements automobiles
4532Z|45.32Z|Commerce de détail d'équipements automobiles
4540Z|45.40Z|Commerce et réparation de motocycles
4611Z|46.11Z|Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis
4612A|46.12A|Centrales d'achat de carburant
4612B|46.12B|Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques
4613Z|46.13Z|Intermédiaires du commerce en bois et matériaux de construction
4614Z|46.14Z|Intermédiaires du commerce en machines, équipements industriels, navires et avions
4615Z|46.15Z|Intermédiaires du commerce en meubles, articles de ménage et quincaillerie
4616Z|46.16Z|Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir
4617A|46.17A|Centrales d'achat alimentaires
4617B|46.17B|Autres intermédiaires du commerce en denrées, boissons et tabac
4618Z|46.18Z|Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
4619A|46.19A|Centrales d'achat non alimentaires
4619B|46.19B|Autres intermédiaires du commerce en produits divers
4621Z|46.21Z|Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail
4622Z|46.22Z|Commerce de gros (commerce interentreprises) de fleurs et plantes
4623Z|46.23Z|Commerce de gros (commerce interentreprises) d'animaux vivants
4624Z|46.24Z|Commerce de gros (commerce interentreprises) de cuirs et peaux
4631Z|46.31Z|Commerce de gros (commerce interentreprises) de fruits et légumes
4632A|46.32A|Commerce de gros (commerce interentreprises) de viandes de boucherie
4632B|46.32B|Commerce de gros (commerce interentreprises) de produits à base de viande
4632C|46.32C|Commerce de gros (commerce interentreprises) de volailles et gibier
4633Z|46.33Z|Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles
4634Z|46.34Z|Commerce de gros (commerce interentreprises) de boissons
4635Z|46.35Z|Commerce de gros (commerce interentreprises) de produits à base de tabac
4636Z|46.36Z|Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie
4637Z|46.37Z|Commerce de gros (commerce interentreprises) de café, thé, cacao et épices
4638A|46.38A|Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques
4638B|46.38B|Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
4639A|46.39A|Commerce de gros (commerce interentreprises) de produits surgelés
4639B|46.39B|Commerce de gros (commerce interentreprises) alimentaire non spécialisé
4641Z|46.41Z|Commerce de gros (commerce interentreprises) de textiles
4642Z|46.42Z|Commerce de gros (commerce interentreprises) d'habillement et de chaussures
4643Z|46.43Z|Commerce de gros (commerce interentreprises) d'appareils électroménagers
4644Z|46.44Z|Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien
4645Z|46.45Z|Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
4646Z|46.46Z|Commerce de gros (commerce interentreprises) de produits pharmaceutiques
4647Z|46.47Z|Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage
4648Z|46.48Z|Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
4649Z|46.49Z|Commerce de gros (commerce interentreprises) d'autres biens domestiques
4651Z|46.51Z|Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels
4652Z|46.52Z|Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
4661Z|46.61Z|Commerce de gros (commerce interentreprises) de matériel agricole
4662Z|46.62Z|Commerce de gros (commerce interentreprises) de machines-outils
4663Z|46.63Z|Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil
4664Z|46.64Z|Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
4665Z|46.65Z|Commerce de gros (commerce interentreprises) de mobilier de bureau
4666Z|46.66Z|Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
4669A|46.69A|Commerce de gros (commerce interentreprises) de matériel électrique
4669B|46.69B|Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
4669C|46.69C|Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
4671Z|46.71Z|Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
4672Z|46.72Z|Commerce de gros (commerce interentreprises) de minerais et métaux
4673A|46.73A|Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
4673B|46.73B|Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
4674A|46.74A|Commerce de gros (commerce interentreprises) de quincaillerie
4674B|46.74B|Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
4675Z|46.75Z|Commerce de gros (commerce interentreprises) de produits chimiques
4676Z|46.76Z|Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
4677Z|46.77Z|Commerce de gros (commerce interentreprises) de déchets et débris
4690Z|46.90Z|Commerce de gros (commerce interentreprises) non spécialisé
4711A|47.11A|Commerce de détail de produits surgelés
4711B|47.11B|Commerce d'alimentation générale
4711C|47.11C|Supérettes
4711D|47.11D|Supermarchés
4711E|47.11E|Magasins multi-commerces
4711F|47.11F|Hypermarchés
4719A|47.19A|Grands magasins
4719B|47.19B|Autres commerces de détail en magasin non spécialisé
4721Z|47.21Z|Commerce de détail de fruits et légumes en magasin spécialisé
4722Z|47.22Z|Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
4723Z|47.23Z|Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé
4724Z|47.24Z|Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé
4725Z|47.25Z|Commerce de détail de boissons en magasin spécialisé
4726Z|47.26Z|Commerce de détail de produits à base de tabac en magasin spécialisé
4729Z|47.29Z|Autres commerces de détail alimentaires en magasin spécialisé
4730Z|47.30Z|Commerce de détail de carburants en magasin spécialisé
4741Z|47.41Z|Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé
4742Z|47.42Z|Commerce de détail de matériels de télécommunication en magasin spécialisé
4743Z|47.43Z|Commerce de détail de matériels audio et vidéo en magasin spécialisé
4751Z|47.51Z|Commerce de détail de textiles en magasin spécialisé
4752A|47.52A|Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)
4752B|47.52B|Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)
4753Z|47.53Z|Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé
4754Z|47.54Z|Commerce de détail d'appareils électroménagers en magasin spécialisé
4759A|47.59A|Commerce de détail de meubles
4759B|47.59B|Commerce de détail d'autres équipements du foyer
4761Z|47.61Z|Commerce de détail de livres en magasin spécialisé
4762Z|47.62Z|Commerce de détail de journaux et papeterie en magasin spécialisé
4763Z|47.63Z|Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
4764Z|47.64Z|Commerce de détail d'articles de sport en magasin spécialisé
4765Z|47.65Z|Commerce de détail de jeux et jouets en magasin spécialisé
4771Z|47.71Z|Commerce de détail d'habillement en magasin spécialisé
4772A|47.72A|Commerce de détail de la chaussure
4772B|47.72B|Commerce de détail de maroquinerie et d'articles de voyage
4773Z|47.73Z|Commerce de détail de produits pharmaceutiques en magasin spécialisé
4774Z|47.74Z|Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
4775Z|47.75Z|Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
